,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff,
16667,C,2011,henry sims,100.1,17.5,57.8,56.9,8,18.9,16.2,27.4,0.5,48,82,0.585,0,1,0,4.8,1.2,45.8,0.752559,101.779,6,94.2,92.6367,14.0312,-0.888444,3.23712,0.8438,2.3125,3.1562,1.1875,0.2812,0.6562,3.5938,0.137517,1.08566471,0.7442,0.4054,99.3397,1.66305,85.6712,3.50565,-0.234341,3.73999,2.34867,24.77,27.07307278,2.303072776,
26725,C,2014,khem birch,117.8,19.6,51,56.9,13.9,20.3,7.6,12.8,0.693,125,245,0.51,0,0,0,10.9,1.2,77.1,3.29549,118.76,2.9,97.4,89.0476,31.4242,3.71298,4.33677,3.9697,6.2424,10.2121,1.2121,0.6364,3.7576,11.5455,0,0.90909775,0.6228,0.2727,90.5787,4.39771,246.245,9.55192,2.34033,7.2116,8.04974,33.04,35.30405403,2.264054029,
21978,C,2017,john collins,124.8,29.2,62.2,65.76,16.4,25.7,4.5,13.2,0.745,234,375,0.624,0,1,0,6.6,1.3,58.5,5.34367,145.671,4.5,63.2,97.0491,26.6061,9.03017,0.214696,3.7576,6.0606,9.8182,0.5152,0.6364,1.5758,19.1515,0.0631074,0.27871248,0.7534,0.443,103.87,2.94366,198.91,6.78591,5.72858,1.05733,9.24487,46.6,48.63805418,2.038054185,
37073,C,2011,robert sacre,110.7,25,49.1,58.39,12,16.8,8.5,19.5,0.825,135,274,0.493,0,1,0,8,1.7,68.7,2.95552,119.113,4.2,65.2,89.4159,26.1176,2.58715,2.72336,2.5,3.9412,6.4412,1.1176,0.7647,1.8529,12.5294,0.0658215,0.51348492,0.6545,0.3841,92.7907,3.37475,195.015,6.54251,1.28283,5.25968,5.31051,21.93,23.88381378,1.953813784,
41682,C,2015,tony parker,104.7,24.6,54.3,55.68,12.3,18.1,3.6,16.9,0.575,150,276,0.543,0,0,0,4.2,1.3,58,2.47283,116.5,5.6,95.4,94.7195,24.6471,1.06111,0.290351,2.7353,4,6.7353,0.4118,0.5588,0.9118,11.5294,0,0.23730768,0.6509,0.3738,99.1878,2.77483,163.764,1.29467,0.75454,0.540125,1.35146,30.6,32.37714306,1.777143064,
41683,C,2014,tony parker,107.6,19.7,60.2,58.37,12.5,17.4,1.4,16.3,0.468,109,181,0.602,0,0,0,4.4,1.3,42.5,1.38403,111.597,6.8,95.4,95.365,17.2432,-1.02865,-0.271557,1.7838,2.6486,4.4324,0.1351,0.4054,0.6216,6.8649,0,0.13884893,0.7339,0.3158,99.8816,2.03963,123.23,-0.129992,-0.191627,0.0616343,-1.30021,30.6,32.24074166,1.640741658,
27820,C,2010,lance thomas,99.1,13.5,43.9,50.22,10.4,11,6.1,26.9,0.743,68,155,0.439,0,0,0,0.8,1.4,47.7,0.856023,95.4928,4.8,94.8,89.3258,25.25,-0.837577,2.36188,2.35,2.5,4.85,0.9,0.6,0.2,4.775,0,0.59016393,0.6026,0.2692,94.5901,3.25753,167.533,4.64729,1.30009,3.3472,1.52431,18.86,20.44668036,1.586680357,
13926,C,2010,ekpe udoh,110.5,23,49.1,52.99,12.8,17.6,14.7,17.9,0.692,178,358,0.497,7,26,0.269,11,1.4,41.4,4.21518,120.227,2.8,47.4,88.0061,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,1.24524,1.11631598,0.7156,0.4016,93.4571,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,23.32,24.89218833,1.572188331,
2056,C,2010,andrew nicholson,112.5,24,56.1,59.67,9.1,17.9,3.7,14.8,0.76,189,337,0.561,0,0,0,6.6,0.4,37.1,3.72714,121.2,4,10.6,99.7134,30.2759,3.05449,0.0396227,2.3448,4.8276,7.1724,0.4828,0.2069,1.8966,16.3103,0,0.25927716,0.7425,0.3824,101.019,2.81462,169.169,1.74362,1.14214,0.601477,3.09411,25.72,27.24027218,1.520272175,
43286,C,2012,tyler zeller,121.2,24.4,55.3,61.56,14.1,20.2,6.3,15.3,0.808,220,398,0.553,0,0,0,5.3,1.7,56.3,4.62374,133.178,3.8,97,84.3171,28.1579,6.60917,3.30406,3.8421,5.7632,9.6053,0.9474,0.8947,1.5263,16.3421,0,0.49315494,0.6794,0.4906,88.5932,4.09334,257.763,10.0044,5.44846,4.55591,9.91323,32.11,33.45470626,1.344706263,
24635,C,2013,justin jackson,82.5,18.2,42.3,44.09,9.5,20.4,15.8,32.3,0.512,45,99,0.455,1,11,0.091,7.8,3.2,39.1,-0.0789536,84.0245,5.5,68.8,79.6071,18.8,-2.69307,5.76329,1.6333,3.4333,5.0667,1.4667,0.9667,1.3667,3.8333,1.19778,0.81483333,0.5893,0.2791,82.306,2.99525,138.974,5.69448,-2.7268,8.42128,3.07022,20.83,22.15088583,1.320885834,
8332,C,2010,cole aldrich,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,0.679,149,265,0.562,0,0,0,13,1.6,60,3.38383,122.431,3.8,94.8,77.6247,26.75,4.74326,5.24154,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,0,0.55354846,0.7302,0.4101,82.6828,4.50588,264.514,11.6948,3.18819,8.50663,9.9848,36.35,37.35177788,1.001777877,
