,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
16216,2016,grayson allen,124.9,25.9,55.4,61.56,2.1,11.6,19.4,12.3,149,297,0.502,90,216,0.417,0.3,2.1,49.1,So,6.62717,140.488,95.0,98.671,36.5833,7.49769,1.39261,0.6667,3.9167,4.5833,3.5278,1.3056,0.1389,21.6389,9.5483,0.6211,106.354,3.81818,220.946,7.52834,7.31952,0.208814,8.8903,39.63
16320,2010,greg monroe,106.8,27.5,53.4,56.68,8.6,25.2,22.4,20.8,195,358,0.545,7,27,0.259,4.9,2.2,54.3,So,4.47139,123.362,98.6,86.8378,34.2353,4.54337,3.31865,2.1765,7.4706,9.6471,3.7647,1.2353,1.5294,16.1471,1.38046,0.6471,93.1304,4.7123,266.081,8.07504,3.30906,4.76598,7.86202,41.64
16536,2012,harrison barnes,108.2,26.0,48.7,52.8,6.9,11.0,7.2,14.0,180,384,0.469,49,137,0.358,1.1,2.0,37.4,So,3.56749,120.981,100.0,90.076,29.2368,4.32657,1.6746,1.9474,3.2632,5.2105,1.1316,1.0789,0.3421,17.0526,6.72803,0.7333,94.6442,3.66786,212.697,5.538,4.02998,1.50802,6.00117,36.84
16672,2010,henry sims,84.0,16.0,50.0,52.81,7.2,17.2,6.2,33.7,13,23,0.565,0,3,0.0,7.0,1.0,88.5,So,-0.0594076,83.173,94.2,92.0672,6.7143,-3.62133,2.64003,0.3571,1.0,1.3571,0.25,0.1071,0.4286,1.3929,0.951429,0.6923,98.1582,0.802346,35.8202,-0.044385,-3.02506,2.98068,-0.981295,24.77
16723,2011,hollis thompson,124.3,16.0,63.0,64.39,6.6,16.2,6.2,13.5,56,97,0.577,42,92,0.457,1.9,2.1,26.5,So,3.00312,123.631,89.4,93.7613,23.25,5.19834,1.84178,1.1562,3.2812,4.4375,0.7188,0.7812,0.4375,8.5625,7.62587,0.6154,100.546,2.66531,135.234,6.3071,4.58794,1.71917,7.04012,21.15
16885,2011,ian clark,119.6,20.5,59.6,62.04,2.2,8.8,14.8,16.9,78,144,0.542,72,168,0.429,0.8,2.9,21.2,So,2.72804,118.448,36.8,94.0227,24.6,4.48637,1.95302,0.4571,1.8286,2.2857,1.8,1.2286,0.1714,12.1714,11.2002,0.6353,91.5024,2.78886,158.805,5.30879,3.91719,1.3916,6.43938,19.62
17030,2010,iman shumpert,94.0,21.4,44.5,48.24,3.5,9.0,24.3,27.0,63,155,0.406,37,111,0.333,0.6,3.5,28.2,So,1.73453,102.029,95.6,87.57,30.6552,0.801949,2.76395,0.931,2.7241,3.6552,4.0,1.8966,0.1724,10.0345,7.03017,0.5862,94.1602,4.14162,175.644,4.66335,1.9912,2.67216,3.5659,43.29
17381,2010,isaiah thomas,108.7,26.0,48.8,53.99,2.1,11.9,19.5,16.1,121,249,0.486,65,199,0.327,0.3,1.9,47.5,So,3.85141,121.522,57.6,92.7601,31.1143,5.09193,1.31994,0.5714,3.3429,3.9143,3.1714,1.0571,0.0857,16.9429,10.0546,0.6348,98.0477,3.63033,196.57,5.37921,4.60979,0.769427,6.41187,46.08
18286,2014,jakarr sampson,101.6,24.2,49.6,50.8,8.0,15.5,8.9,13.2,180,361,0.499,1,5,0.2,3.6,1.3,29.5,So,2.13386,109.916,92.6,94.9966,29.0,0.890922,0.846334,2.0606,4.0606,6.1212,1.1818,0.6364,0.9697,12.8485,0.307399,0.6667,99.6889,3.42566,169.44,1.27807,-0.0463676,1.32444,1.73726,36.93
18380,2014,jake layman,109.7,18.1,49.8,52.92,4.6,13.1,6.0,11.8,64,145,0.441,61,167,0.365,2.9,2.0,28.5,So,2.64691,112.616,86.4,94.2576,31.75,2.74994,2.51604,1.2812,3.6875,4.9688,0.9375,1.0625,0.8438,11.7188,9.68436,0.6364,98.9712,3.85775,185.87,5.68745,2.5392,3.14825,5.26598,23.55
18549,2017,jalen brunson,125.7,23.5,60.4,65.5,2.1,7.9,26.1,17.2,141,227,0.621,42,111,0.378,0.0,1.7,40.5,So,5.35828,137.426,95.8,95.1758,31.1111,5.70354,1.48663,0.4722,2.1111,2.5833,4.1111,0.8889,0.0,14.6667,6.0539,0.7323,100.582,3.64433,169.441,6.19516,5.97123,0.22393,7.19017,49.58
19500,2010,jamychal green,101.7,29.4,49.5,54.09,11.9,18.5,9.3,19.4,162,322,0.503,0,5,0.0,6.8,2.0,50.2,So,2.9825,117.557,97.4,89.8915,27.0,2.2648,1.72935,2.7742,4.3871,7.1613,1.0645,0.871,1.6774,14.129,0.360474,0.596,94.4698,3.4303,175.499,4.28597,0.560749,3.72522,3.99415,31.78
19674,2012,jared sullinger,117.8,27.3,53.8,59.11,12.5,24.0,8.6,13.7,212,399,0.531,16,40,0.4,4.0,2.3,51.9,So,5.15664,134.663,99.4,79.3279,30.3514,7.08523,3.45719,3.1351,6.0541,9.1892,1.2432,1.1622,1.0541,17.4865,2.10795,0.6821,85.165,4.95219,259.854,10.0557,5.46551,4.59023,10.5424,50.12
20753,2011,jeff withey,109.0,19.8,64.7,61.4,15.4,17.2,5.2,21.2,22,34,0.647,0,0,0.0,12.5,1.8,97.1,So,0.539919,111.234,94.6,82.9724,6.2308,0.100703,4.76035,0.7692,1.0,1.7692,0.1923,0.1923,0.7308,2.3462,0.0,0.625,86.8141,0.950334,39.9367,9.71848,1.90914,7.80934,4.86106,41.04
20857,2014,jerami grant,115.6,21.4,49.6,54.74,9.1,17.2,9.4,11.3,133,263,0.506,0,5,0.0,2.5,1.7,66.4,So,3.74525,122.944,90.6,92.424,31.4062,3.38554,1.83139,2.4375,4.3438,6.7812,1.375,0.8125,0.5625,12.0625,0.326018,0.6822,97.8648,4.02905,166.665,4.63048,2.57061,2.05987,5.21693,35.63
21031,2012,jeremy lamb,115.4,22.2,55.6,58.95,3.0,11.1,10.1,15.0,146,243,0.601,71,211,0.336,1.7,2.1,26.7,So,4.89767,124.025,83.0,96.2073,37.2353,5.58128,1.55189,0.9412,3.9412,4.8824,1.7059,1.2353,0.6176,17.7353,10.2954,0.7882,101.528,3.85197,207.755,6.13466,5.05687,1.07779,7.13317,44.46
21122,2012,jerian grant,110.9,21.2,46.8,53.38,1.8,7.5,29.5,15.6,67,165,0.406,57,161,0.354,0.5,2.3,42.3,So,3.89113,117.103,78.0,97.0918,36.2353,3.49639,1.59878,0.5294,2.3235,2.8529,4.9706,1.2941,0.1765,12.2941,8.46803,0.5227,101.214,3.62534,184.449,4.42374,4.13945,0.284283,5.09517,33.12
21411,2016,jevon carter,108.6,18.1,45.9,50.04,2.7,9.7,21.2,18.3,67,146,0.459,44,144,0.306,1.3,3.4,31.0,So,2.24382,111.419,40.4,88.6899,27.7143,2.22933,4.1302,0.7143,2.1429,2.8571,3.2571,1.6857,0.2857,9.5143,8.23569,0.5556,94.4959,3.84502,188.712,6.56458,3.24126,3.32331,6.35953,32.8
21691,2012,joe harris,109.2,21.1,53.1,56.97,4.1,12.1,13.0,14.7,72,145,0.497,49,129,0.38,1.5,1.6,33.6,So,2.92388,113.636,73.8,88.0788,30.2812,3.56301,2.46983,0.9062,2.9688,3.875,1.7188,0.7188,0.375,11.3125,8.72908,0.5571,90.7005,4.0056,158.299,5.90135,3.14758,2.75377,6.03284,41.05
21982,2017,john collins,124.8,29.2,62.2,65.76,16.4,25.7,4.5,13.2,234,375,0.624,0,1,0.0,6.6,1.3,58.5,So,5.34367,145.671,63.2,97.0491,26.6061,9.03017,0.214696,3.7576,6.0606,9.8182,0.5152,0.6364,1.5758,19.1515,0.0631074,0.7534,103.87,2.94366,198.91,6.78591,5.72858,1.05733,9.24487,46.6
22080,2011,john henson,98.1,23.4,50.1,50.18,12.7,25.3,5.8,17.9,181,358,0.506,1,6,0.167,11.6,1.2,39.0,So,1.95458,107.406,99.2,79.6651,26.7297,2.6459,4.67848,3.2432,6.8649,10.1081,0.8108,0.5946,3.1892,11.7027,0.33098,0.7361,85.5676,4.36888,277.396,8.32823,0.14168,8.18655,7.32438,31.87
22789,2012,jordan clarkson,106.6,27.0,49.1,54.92,4.2,9.6,18.9,18.0,124,269,0.461,43,115,0.374,1.7,1.7,44.5,So,3.72435,118.221,59.0,98.2903,33.9355,4.09154,0.330241,1.129,2.7419,3.871,2.5484,0.9355,0.5484,16.4839,6.74348,0.6055,99.5635,3.21334,169.865,3.15136,3.26734,-0.11598,4.42178,44.77
22957,2016,jordan hill,98.0,12.3,47.7,48.41,3.5,7.4,10.1,20.7,16,36,0.444,17,51,0.333,0.2,1.2,6.9,So,0.153136,90.7672,29.6,98.5117,15.5667,-2.38154,1.2792,0.4667,0.9333,1.4,0.8,0.3,0.0333,2.9,6.82247,0.7273,104.244,1.63775,64.0019,0.415645,-0.664648,1.08029,-1.10234,31.26
23070,2016,jordan mclaughlin,112.6,21.0,55.1,57.88,1.7,10.2,25.6,19.3,106,213,0.498,56,132,0.424,0.4,2.8,29.9,So,3.4455,119.063,91.6,98.2773,32.3529,3.96535,1.77158,0.5,3.2647,3.7647,4.6765,1.6176,0.1471,13.4118,6.59203,0.6531,102.486,3.39439,205.14,5.76842,4.52817,1.24025,5.73693,39.79
23129,2019,jordan poole,108.4,20.0,53.8,57.32,0.8,9.4,13.0,14.1,86,166,0.518,75,203,0.369,0.7,2.0,24.4,So,3.22261,115.578,81.6,88.1995,33.027,2.46928,3.61508,0.2162,2.7568,2.973,2.1622,1.0811,0.2162,12.7568,10.217,0.7079,92.5991,4.72841,204.665,7.31086,3.85039,3.46047,6.08437,47.22
23672,2015,josh hart,125.3,18.7,62.2,63.57,9.0,12.1,11.6,13.6,72,129,0.558,52,112,0.464,1.7,2.7,40.2,So,3.6116,128.518,84.4,88.997,25.4722,6.63831,2.76788,1.8056,2.6667,4.4722,1.4722,1.1111,0.3889,10.1389,7.5079,0.7,93.3926,3.37121,167.805,10.3898,7.28336,3.10639,9.40619,47.53
23807,2018,josh okogie,107.9,26.8,47.5,55.04,7.3,13.1,15.6,15.7,95,220,0.432,38,100,0.38,2.8,2.9,50.6,So,4.48367,123.506,63.8,95.767,36.375,5.20362,1.90724,2.25,4.0,6.25,2.4583,1.75,0.9583,18.2083,6.88648,0.5354,100.756,4.22922,163.453,5.45468,3.60459,1.85009,7.11086,39.78
23840,2013,josh richardson,101.2,16.0,49.1,52.61,4.8,11.9,10.8,21.3,90,169,0.533,9,42,0.214,2.4,2.2,37.0,So,1.4916,99.4603,51.0,95.5386,30.697,0.775931,2.63265,1.2424,3.0909,4.3333,1.5455,1.0606,0.697,7.9091,2.59962,0.6176,98.0097,3.18618,179.503,4.81439,1.70164,3.11275,3.40858,42.31
23884,2014,josh smith,74.5,14.9,35.2,37.57,6.2,18.3,3.5,23.9,19,54,0.352,0,0,0.0,2.2,0.4,33.3,So,-0.572087,71.4229,57.2,91.425,9.9667,-7.01798,1.0736,0.5,1.6,2.1,0.1667,0.0667,0.2,1.5667,0.0,0.4762,95.4866,1.29614,49.8325,-4.77036,-6.13367,1.36332,-5.94439,36.73
24435,2014,justin anderson,100.9,22.9,47.0,51.58,4.2,14.1,14.9,18.4,66,134,0.493,30,102,0.294,4.2,1.1,40.3,So,1.58796,109.653,90.2,87.8731,21.5135,2.36992,3.19397,0.7027,2.5405,3.2432,1.4595,0.3514,0.7568,7.8378,8.42972,0.6441,92.4161,3.11072,135.667,5.60824,1.57329,4.03494,5.56389,30.61
24602,2010,justin hamilton,120.4,14.5,61.7,64.27,13.9,13.4,2.9,17.8,74,120,0.617,0,0,0.0,4.8,0.7,58.3,So,2.10755,114.579,61.4,93.9418,21.3871,2.05068,2.02226,2.6774,2.7097,5.3871,0.3226,0.2581,1.0645,6.3548,0.0,0.6923,100.782,2.37825,121.196,5.18199,2.59318,2.58881,4.07293,28.01
24633,2018,justin jackson,91.3,24.2,41.6,47.05,11.1,21.1,12.6,24.5,27,61,0.443,10,40,0.25,3.0,1.7,28.7,So,1.0433,98.1542,83.8,95.4628,29.3636,0.207988,1.13622,2.4545,5.6364,8.0909,1.9091,0.8182,0.8182,9.8182,7.44271,0.5135,96.6583,3.4239,68.625,2.36442,-0.419034,2.78346,1.34421,20.83
24636,2016,justin jackson,119.0,20.4,50.8,52.75,7.2,7.9,16.3,10.6,159,296,0.537,35,120,0.292,1.6,1.3,23.1,So,3.70958,125.596,98.4,98.0059,28.375,5.44043,1.10563,1.775,2.125,3.9,2.775,0.625,0.425,12.175,6.02863,0.6711,105.018,3.04754,174.176,7.21066,6.01219,1.19846,6.54606,20.83
24640,2012,justin jackson,96.6,16.9,52.0,52.55,10.1,12.6,9.7,25.9,77,141,0.546,0,7,0.0,8.2,2.6,43.9,So,0.769453,96.3615,68.8,88.8726,21.0811,-2.20804,4.55853,1.9459,2.2703,4.2162,1.0541,0.8919,1.6486,5.0811,0.556863,0.6091,91.8662,2.70487,157.479,6.74787,-0.254808,7.00268,2.35049,20.83
