,player_name,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe, midmade,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,year,test_score
14602,kevon looney,36,76.8,113.0,20.0,50.5,53.22,12.2,21.0,9.1,11.9,92,147,0.626,129,268,0.481,22,53,0.415,3.3,2.5,45.8,3.40004,119.258,29,91.9367,30.9444,4.43098,1.88494,3.3889,5.8056,9.1944,1.4167,1.2778,0.8889,11.5556,2.80204,1.13336,100,156,29,111,0.641,0.2613,96.2307,3.78196,242.473,7.63282,4.25398,3.37884,6.31592,51.22,2015,45.6714612275656
15173,kyrie irving,11,20.5,130.5,27.2,61.5,69.7,2.3,10.6,29.8,18.6,64,71,0.901,37,65,0.569,18,39,0.462,1.8,3.0,68.3,5.95161,148.528,11,87.1588,27.5455,9.48637,4.37825,0.5455,2.8182,3.3636,4.2727,1.4545,0.5455,17.4545,7.29491,1.74076183,26,39,11,26,0.6667,0.4231,91.7011,3.80115,61.4034,12.1928,9.40502,2.78781,13.8646,59.75,2011,61.010201506066664
15277,lance stephenson,34,67.6,99.3,26.0,46.2,49.35,7.3,14.0,19.1,19.5,79,119,0.664,146,295,0.495,16,73,0.219,0.7,1.9,32.3,2.43413,110.932,47,93.3915,28.2353,2.87922,1.68549,1.8529,3.5,5.3529,2.4706,0.9118,0.1765,12.3235,4.55624,1.03702143,99,151,47,143,0.6556,0.3287,99.2715,3.1973,171.527,3.66146,1.66201,1.99945,4.56471,21.33,2010,26.27481359451224
15398,lauri markkanen,37,77.0,130.1,21.5,58.4,63.45,10.0,17.5,5.6,9.8,137,164,0.835,116,213,0.545,69,163,0.423,1.8,0.8,43.6,5.35761,137.903,51,94.657,30.8108,7.74147,0.84563,2.3784,4.8108,7.1892,0.8649,0.4054,0.5135,15.5676,8.55561,0.8000185,65,100,51,113,0.65,0.4513,99.0583,3.66462,203.764,7.77584,6.9491,0.826736,8.5871,34.0,2017,31.98216570888792
15713,lonnie walker iv,32,68.8,107.9,21.1,50.3,52.74,1.7,9.2,13.0,11.6,48,65,0.738,76,156,0.487,56,162,0.346,1.8,2.0,20.4,2.47646,113.718,17,97.8887,27.75,2.92349,1.57556,0.4062,2.1875,2.5938,1.9062,0.9375,0.4688,11.5,10.7291,1.64867667,59,100,17,56,0.59,0.3036,101.866,3.01536,148.382,4.42331,3.28302,1.1403,4.49906,23.24,2018,35.93780497203727
15715,lonzo ball,36,87.6,129.4,20.1,66.8,67.26,3.2,14.3,31.4,18.9,66,98,0.673,109,149,0.732,80,194,0.412,2.1,2.8,28.6,5.50817,133.073,15,95.9566,35.0556,7.65462,3.37211,0.9167,5.0833,6.0,7.6111,1.8333,0.7778,14.5556,8.28628,3.07867505,94,120,15,29,0.7833,0.5172,99.8459,4.0114,275.837,11.0424,8.18346,2.85898,11.0267,56.21,2017,53.05580925823335
16115,malik beasley,34,74.3,114.9,23.0,54.1,58.29,5.0,15.1,9.8,14.0,104,128,0.813,130,251,0.518,55,142,0.387,0.6,1.8,32.6,3.71706,123.97,43,98.7372,29.8235,4.89748,0.449452,1.2941,4.0,5.2941,1.5,0.9412,0.1765,15.5588,7.75132,0.86440388,87,129,43,122,0.6744,0.3525,104.037,3.11598,182.98,4.21408,4.06388,0.150193,5.34693,34.39,2016,41.12272365226556
16158,malik monk,38,79.9,115.7,25.1,54.3,58.59,1.1,7.2,13.3,13.3,148,180,0.822,147,296,0.497,104,262,0.397,1.5,1.6,32.3,4.66659,129.887,75,94.1113,32.0526,6.14589,1.77952,0.3158,2.1842,2.5,2.2895,0.9474,0.5,19.8421,11.4944,1.14475,72,111,75,187,0.6486,0.4011,99.9136,3.86031,210.41,6.1421,5.18184,0.960259,7.92541,29.21,2017,30.95845843267773
16615,marquese chriss,34,61.2,109.3,23.7,56.2,58.64,9.8,11.7,6.3,17.6,89,130,0.685,159,279,0.57,21,60,0.35,5.9,1.9,38.3,2.66194,119.28,56,96.5835,24.9118,2.60641,1.63427,2.5,2.8824,5.3824,0.7647,0.9412,1.6176,13.8235,3.61537,0.37681086,102,145,56,133,0.7034,0.4211,100.93,2.74802,179.644,4.54953,2.03066,2.51887,4.24068,38.74,2016,39.373459782201394
16723,marvin bagley iii,33,74.8,123.8,25.8,64.0,64.35,13.8,21.4,8.8,14.7,131,209,0.627,247,382,0.647,23,58,0.397,2.6,1.4,47.5,6.01066,139.5,54,91.47,33.7576,8.30044,1.34425,4.0,7.0909,11.0909,1.5152,0.8182,0.8788,21.0303,2.93586,0.66669599,193,264,54,118,0.7311,0.4576,96.4998,4.41523,234.046,8.66296,6.3114,2.35157,9.6447,31.82,2018,41.17532781765942
17441,michael kidd gilchrist,40,77.8,111.8,21.3,51.1,57.05,10.3,16.1,10.8,19.6,143,192,0.745,147,275,0.535,13,51,0.255,2.8,1.9,58.9,3.64184,119.42,47,86.5498,31.125,3.86278,2.87296,2.575,4.85,7.425,1.875,0.975,0.925,11.9,2.44492,0.86206898,100,143,47,132,0.6993,0.3561,90.971,4.29842,242.953,8.18856,5.00434,3.18423,6.73574,47.81,2012,46.908796906221255
18167,myles turner,34,54.9,109.4,23.8,48.8,55.61,7.2,24.9,6.2,16.6,94,112,0.839,100,195,0.513,17,62,0.274,12.3,0.8,43.6,2.57861,121.208,60,81.3327,22.2059,3.08008,5.45255,1.2941,5.2353,6.5294,0.5882,0.2941,2.6176,10.1471,5.20698,0.42549187,40,54,60,141,0.7407,0.4255,85.3599,3.51116,185.417,7.38281,0.519533,6.86328,8.53262,41.62,2015,50.75037042305951
