player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
deandre liggins,2017.5,1552.0,757.5,-3.35,0.03,-3.32,-4.33,0.3,-4.04,-3.78,0.1,-3.68,-0.31,-0.2,-0.11,-3.35,0.31,-3.04,-0.2,1.0,0.29,0.25,0.11,22.96
deandre' bembry,2021.5,2101.0,999.0,-1.64,0.71,-0.93,-0.66,1.04,0.38,-1.56,0.83,-0.73,1.04,1.04,0.0,-1.61,0.8,-0.81,0.02,1.0,0.41,0.42,0.16,35.03
dejounte murray,2021.5,4733.0,2252.5,1.59,0.01,1.61,2.56,0.64,3.2,1.89,0.14,2.03,5.56,5.56,0.0,1.88,1.42,3.3,-0.05,1.0,0.66,0.6,0.34,55.84
delon wright,2020.5,3475.0,1664.75,0.67,1.75,2.42,-0.86,0.84,-0.02,0.38,1.67,2.05,4.06,3.83,0.22,0.19,1.64,1.83,-1.05,1.0,0.55,0.57,0.27,49.12
demarcus cousins,2017.75,3396.62,1651.12,0.76,3.67,4.43,-0.03,0.09,0.06,0.63,3.16,3.79,5.95,5.87,0.08,1.08,2.99,4.07,1.47,1.0,0.68,0.67,0.34,59.15
dennis smith jr,2021.0,1241.5,587.5,-3.26,0.07,-3.19,-5.36,-1.7,-7.06,-3.85,-0.24,-4.09,-0.35,-0.35,0.0,-3.01,-0.26,-3.27,-0.05,1.0,0.28,0.23,0.11,21.59
denzel valentine,2021.0,2159.0,1036.0,-1.59,-0.72,-2.31,-1.32,2.11,0.79,-1.61,-0.16,-1.77,0.51,0.51,0.0,-1.0,-1.09,-2.1,-0.25,1.0,0.41,0.43,0.17,35.64
derrick favors,2018.0,3405.11,1695.89,-0.97,2.3,1.33,0.44,-0.09,0.35,-0.73,1.92,1.19,3.68,3.39,0.29,-0.6,2.42,1.82,-0.51,1.0,0.56,0.53,0.26,47.52
derrick jones jr,2021.0,2618.33,1252.67,-0.75,1.38,0.63,-0.44,0.38,-0.06,-0.75,1.27,0.51,2.17,2.13,0.04,-1.13,0.87,-0.26,-0.32,1.0,0.47,0.52,0.21,42.17
derrick white,2021.5,3996.5,1924.0,0.9,3.09,3.99,0.56,2.55,3.11,0.88,3.16,4.04,6.43,5.77,0.65,0.79,3.42,4.21,0.08,1.0,0.78,0.79,0.42,69.47
derrick williams,2015.5,2819.0,1389.75,-1.36,-3.1,-4.46,-2.94,-3.2,-6.14,-1.77,-3.3,-5.07,-1.42,-1.37,-0.05,-1.86,-4.2,-6.05,-0.35,1.0,0.13,0.17,0.07,12.86
devin booker,2020.0,5252.0,2497.8,3.31,-1.75,1.56,3.97,-2.05,1.92,3.65,-1.91,1.74,6.1,5.25,0.85,3.41,-1.65,1.76,1.24,1.0,0.55,0.56,0.35,50.23
devin harris,2016.5,2623.33,1275.33,1.55,-0.28,1.27,0.0,0.66,0.66,1.32,-0.11,1.21,2.6,2.49,0.11,0.95,-0.46,0.49,0.33,1.0,0.54,0.6,0.24,48.88
devonte' graham,2021.5,3995.5,1940.5,1.63,-0.95,0.68,-0.12,1.4,1.28,1.39,-0.51,0.88,3.35,3.29,0.06,1.92,-0.9,1.02,-0.74,1.0,0.54,0.54,0.26,46.85
dewayne dedmon,2018.14,2390.29,1157.86,-2.43,1.78,-0.65,-1.13,1.48,0.35,-2.29,1.83,-0.46,1.47,1.49,-0.02,-2.3,1.4,-0.89,0.05,1.0,0.45,0.47,0.19,39.16
dillon brooks,2021.5,3598.5,1696.0,-0.48,1.62,1.14,2.98,2.44,5.42,0.19,1.86,2.05,3.93,3.07,0.86,0.62,2.51,3.14,0.9,1.0,0.62,0.57,0.27,51.64
dion waiters,2016.5,3489.5,1727.17,-0.47,-0.63,-1.1,-0.7,0.06,-0.64,-0.55,-0.54,-1.09,1.46,1.22,0.23,-0.06,-0.41,-0.47,-0.16,1.0,0.45,0.41,0.18,36.95
domantas sabonis,2020.5,4401.5,2115.0,1.12,0.7,1.83,-0.33,1.06,0.73,0.88,0.81,1.7,4.79,4.75,0.04,1.04,1.19,2.22,0.02,1.0,0.63,0.61,0.33,54.58
donald sloan,2015.5,2420.5,1212.5,-0.26,-2.21,-2.48,-1.03,-0.89,-1.92,-0.41,-2.05,-2.46,0.21,0.21,0.0,-0.75,-2.44,-3.19,-1.29,1.0,0.3,0.33,0.13,26.9
donovan mitchell,2021.0,4984.33,2413.33,4.82,-2.07,2.76,2.78,-1.78,0.99,4.59,-2.17,2.42,6.35,4.9,1.45,4.56,-1.83,2.73,0.37,1.0,0.62,0.61,0.37,55.47
donte divincenzo,2022.0,2154.0,1006.0,-1.68,1.19,-0.5,-2.51,0.8,-1.71,-1.96,1.2,-0.75,1.04,1.04,0.0,-1.15,0.69,-0.45,0.91,1.0,0.47,0.46,0.17,39.27
dorian finney smith,2021.0,5286.67,2611.67,-0.54,0.82,0.28,5.33,0.5,5.83,0.63,0.8,1.42,5.59,4.1,1.49,0.86,1.16,2.03,-0.79,1.0,0.56,0.54,0.33,49.61
doug mcdermott,2020.0,3135.8,1481.0,-0.13,-2.99,-3.12,0.57,-1.19,-0.61,0.01,-2.8,-2.79,-0.01,0.05,-0.05,-0.32,-3.22,-3.54,0.11,1.0,0.29,0.33,0.13,26.86
draymond green,2018.0,5469.44,2589.78,0.16,4.27,4.43,2.5,4.06,6.56,0.63,4.44,5.07,11.53,8.34,3.19,1.01,4.84,5.85,1.56,1.0,0.8,0.78,0.58,73.72
duncan robinson,2022.0,4420.0,2202.0,0.86,-1.04,-0.18,-0.51,-0.77,-1.28,0.6,-1.09,-0.49,2.53,2.33,0.21,1.09,-0.61,0.48,-0.53,1.0,0.58,0.52,0.26,47.47
dwayne bacon,2020.5,2647.0,1270.0,-3.98,-1.38,-5.36,-3.79,0.26,-3.53,-4.11,-1.09,-5.19,-1.41,-1.41,0.0,-4.2,-1.7,-5.9,-0.54,1.0,0.14,0.16,0.07,12.92
dwight powell,2020.0,3052.6,1492.0,0.09,1.24,1.33,2.2,0.26,2.46,0.52,1.12,1.64,3.32,3.15,0.17,0.45,1.22,1.67,-0.3,1.0,0.55,0.55,0.24,47.23
e'twaun moore,2017.0,3135.0,1493.57,-0.32,-0.49,-0.82,0.11,-0.27,-0.16,-0.25,-0.48,-0.72,1.52,1.37,0.15,-0.62,-0.52,-1.14,-0.31,1.0,0.41,0.43,0.18,36.31
ed davis,2016.5,2870.83,1421.33,-0.53,0.35,-0.18,-0.53,1.32,0.78,-0.56,0.58,0.02,2.4,2.42,-0.02,-1.06,0.6,-0.46,-0.8,1.0,0.45,0.48,0.22,40.65
ekpe udoh,2016.0,1637.5,817.5,-3.69,0.08,-3.61,-0.84,-0.05,-0.89,-3.31,0.06,-3.25,-0.16,-0.13,-0.03,-3.5,0.21,-3.29,-0.7,1.0,0.28,0.27,0.11,23.49
