,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
40912,Scoring PG,2015,tevin hammond,83.5,40.3,45.59,44,-0.648957,81.3294,106.794,-4.44178,2.875,8.25,0.96840472,0.4531,-4.4856,48.274367601858465
40914,Wing G,2018,tevin king,114.4,55.0,58.5,95,2.35184,112.67,98.3378,0.511854,2.9714,9.1143,1.7333022,0.6048,3.96244,50.69653149919074
40922,Wing G,2022,tevin olison,105.7,52.2,54.9,81,2.04397,104.227,108.426,1.62928,1.3235,12.6471,0.67162287,0.5196,0.510305,39.37472125570254
40926,Wing G,2022,tevin smith,103.2,57.8,61.03,93,1.3465,100.623,110.279,-0.337079,1.3333,10.3667,0.65573208,0.6667,-1.63596,41.62475317539564
40931,Wing G,2018,tevon saddler,101.8,48.5,55.03,126,2.08879,107.46,102.614,0.425593,2.8333,15.8,0.89471697,0.568,-0.142882,49.0584125651572
40932,Wing G,2015,tevon saddler,88.3,43.4,46.73,124,0.832799,95.3314,105.265,-1.90037,3.9677,13.3548,1.10811037,0.6053,-2.95226,48.84037704078396
40935,Wing G,2015,tevonn walker,107.7,49.2,53.6,81,1.86372,106.949,96.9641,0.482745,1.6765,10.2647,1.09618149,0.5632,1.99025,45.22643483026498
40936,Wing G,2017,tevonn walker,110.0,47.7,54.05,91,2.29598,111.05,97.1134,0.828913,1.2903,11.9032,0.97557841,0.566,2.03952,46.42112698611475
40937,Wing G,2018,tevonn walker,100.7,44.1,50.23,89,2.38954,109.794,98.3096,1.27059,1.7143,14.75,1.0,0.5784,1.91568,46.02413253465083
40938,Scoring PG,2021,teyvion kirk,88.0,45.2,46.7,116,1.18095,95.5723,101.418,-1.59826,5.5909,14.2273,1.29472924,0.5789,-2.1279,51.42258825896681
40939,Wing G,2018,teyvion kirk,93.6,46.2,52.17,140,1.49079,101.774,100.533,-1.16389,3.0645,15.2581,0.89620989,0.4951,-0.605951,47.659785796701264
40940,Wing G,2019,teyvion kirk,78.3,42.9,44.63,157,0.184143,89.2085,99.9485,-4.61406,2.4516,14.0645,0.55473593,0.5588,-5.4062,37.75526435802195
40951,Wing G,2018,thatch unruh,101.5,50.8,54.76,54,0.9871,100.08,111.038,-0.7354,2.4286,8.7429,1.39342478,0.7234,-2.23832,49.233263081553986
40952,Wing G,2019,thatch unruh,106.4,53.6,57.64,59,1.80403,103.671,113.668,0.466975,2.1212,12.9697,1.18641989,0.614,-1.2984,45.28944955602737
40954,Wing G,2015,thatch unruh,89.8,46.3,48.71,19,-0.139718,85.4145,119.825,-2.78137,1.3448,6.3448,0.84781238,0.45,-6.75164,40.45090072233931
40968,Wing G,2015,theo johnson,100.1,45.9,54.29,74,1.13082,99.7931,109.127,0.359896,1.6562,10.0,0.80300609,0.5684,-1.22968,51.03755428790678
40971,Wing G,2018,theo pinson,113.2,49.5,56.26,118,3.42738,121.134,94.0103,3.37329,5.0541,10.2703,2.1011474,0.6486,6.91645,65.22333545632807
40973,Wing G,2010,theo robertson,119.6,58.7,62.99,87,4.60909,125.078,98.6138,5.85728,2.2759,14.2069,1.15792414,0.6627,6.66155,49.280738781720416
41006,Scoring PG,2016,thomas capuano,95.1,49.0,49.53,30,-0.409929,83.4222,108.032,-2.43178,1.871,5.0968,1.75763278,0.4737,-1.59713,40.51282825931314
41036,Wing G,2016,thomas neff,99.0,55.4,56.63,25,0.0883479,88.8244,106.45,-1.63373,1.4839,6.0323,1.09529079,0.4634,-2.00212,38.886237939094976
41038,Wing G,2017,thomas neff,120.8,56.1,59.95,26,1.7802,106.763,111.986,1.63329,1.6,7.9,2.0,0.4167,0.593354,45.743103508723614
41040,Wing G,2013,thomas reuter,82.1,39.2,43.03,41,-0.628501,76.9642,110.378,-4.78264,1.4839,5.3548,0.83637695,0.434,-6.3621,43.18802645260522
41049,Wing G,2012,thomas staton,96.5,47.9,50.07,71,0.790515,94.0337,103.679,-0.628292,2.1333,8.0,1.23077373,0.6023,0.274496,44.26307112439826
41057,Wing G,2015,thomas walkup,126.1,59.2,63.8,163,4.56902,134.426,95.8936,7.02812,3.7059,15.5588,1.72600252,0.6879,8.68574,54.21908450264483
41058,Wing G,2014,thomas walkup,123.2,59.2,62.24,155,3.27724,121.505,100.429,3.81915,2.1515,13.2727,1.39210607,0.7163,5.0369,46.04392021609619
41066,Scoring PG,2018,thomas wilder,110.7,47.6,55.07,134,4.03359,122.608,104.217,4.30896,4.3438,18.7812,1.75947827,0.5782,5.44018,58.18444878212473
41067,Scoring PG,2016,thomas wilder,109.7,46.6,54.52,121,3.6693,121.442,102.945,3.93131,3.0333,18.2,1.4444286,0.5089,5.18761,52.96905356235217
41070,Wing G,2021,thorir thorbjarnarson,90.8,43.3,44.86,15,-0.0266941,84.9105,95.7988,-1.88379,1.6667,3.9259,1.73073729,0.4167,0.523569,42.16000739503638
41072,Wing G,2020,thorir thorbjarnarson,101.8,56.1,58.22,52,1.42728,99.6932,98.9413,-0.0319976,1.3125,8.75,0.89358663,0.5867,1.1365,40.29863665191702
41080,Wing G,2019,tiandre jackson young,116.6,55.1,56.07,36,1.52896,106.884,102.495,1.59854,0.6667,6.7273,1.37520625,0.5814,2.00005,38.675117040699064
41091,Scoring PG,2016,tilman dunbar,99.9,44.9,51.95,95,1.36935,100.644,104.84,-0.637099,3.7812,11.9062,1.49383693,0.513,-1.28125,55.61162699945889
41092,Scoring PG,2015,tilman dunbar,93.1,43.2,47.85,98,0.54647,92.5951,109.332,-3.21099,3.2812,9.125,1.59088482,0.5283,-4.4188,51.20654296922275
41099,Scoring PG,2011,tim ambrose,107.2,52.8,55.32,130,3.6085,117.531,104.889,4.00516,3.625,16.5938,1.20833333,0.626,4.19182,48.16640901729807
41100,Wing G,2010,tim ambrose,95.7,46.1,50.46,121,1.80592,105.492,106.08,0.565906,2.8125,12.4375,0.9,0.6705,-1.04518,48.746413744458465
41101,Wing G,2018,tim bond,107.0,51.3,53.36,84,1.43203,101.079,95.0132,0.50514,3.4571,9.2,1.92061111,0.6082,4.78487,49.2726614716043
41103,Wing G,2016,tim bond,101.0,47.8,51.49,83,0.875292,95.9141,103.309,-0.227566,2.5862,9.0,1.33930606,0.6477,1.65583,48.34333774070182
41104,Scoring PG,2017,tim bond,103.7,45.1,48.58,73,1.25005,99.578,103.186,0.434314,3.9143,9.4,1.92955733,0.5974,2.07185,53.492388161854734
41118,Wing G,2014,tim derksen,111.0,59.1,61.01,71,1.75948,110.555,104.279,1.94133,1.2903,8.8065,1.0,0.7179,2.45318,41.571595627239276
41119,Wing G,2013,tim derksen,94.6,57.5,57.17,46,0.712078,94.7772,101.412,-0.29093,0.5862,7.1379,0.37777921,0.6271,-0.475574,33.514760772155164
41120,Wing G,2016,tim derksen,120.3,55.5,58.94,117,4.01379,123.577,110.076,5.21851,2.0345,16.5862,1.2553217,0.6049,3.95805,44.62440298157836
41127,Scoring PG,2012,tim douglas,89.9,47.7,54.36,71,0.879675,96.6576,111.043,-1.16032,3.0333,8.5667,0.95787414,0.5758,-4.32641,53.75757615803387
41128,Scoring PG,2015,tim douglas,99.4,40.3,46.89,30,0.307473,91.1528,112.213,-1.86762,2.7586,6.6552,2.42429037,0.5455,-3.14611,55.59743989891419
41131,Wing G,2021,tim finke,111.1,53.7,55.52,38,1.51418,98.8006,94.4355,1.12896,1.8261,10.0,1.13514014,0.5455,2.49449,41.25411377182202
41132,Wing G,2022,tim finke,101.7,46.4,48.21,55,0.625091,90.3663,107.54,0.129621,2.6944,8.75,1.67239783,0.6275,-0.609311,46.33522340399402
41135,Scoring PG,2014,tim frazier,107.9,46.3,53.59,138,4.08197,122.12,100.725,3.36109,5.3529,14.9412,1.97823279,0.6228,4.80115,64.913946764137
41141,Wing G,2011,tim hardaway jr,109.8,52.4,56.04,80,3.75257,121.503,92.5654,5.17239,1.7353,14.0294,1.34093183,0.7213,7.23695,45.7714404022931
41142,Wing G,2013,tim hardaway jr,104.9,50.4,52.71,125,3.56531,114.944,93.4428,3.15549,2.4324,14.2432,1.30430586,0.7412,4.30914,46.13000662422321
41143,Wing G,2012,tim hardaway jr,103.4,48.6,52.69,112,3.54768,115.871,97.1034,2.6705,2.1212,14.6364,1.07691532,0.6437,2.74858,46.51895778780407
41147,Wing G,2013,tim huskisson,92.1,45.1,47.62,64,0.2842,88.5442,107.988,-2.54304,1.6552,7.069,0.92309409,0.6184,-3.45232,43.190046380404794
41153,Wing G,2010,tim jarmusz,101.2,42.0,45.69,7,0.184155,88.1805,92.0162,-0.354418,0.6061,2.5455,1.33355344,0.3333,1.65843,42.0564071789439
41157,Wing G,2013,tim johnson,91.1,47.4,50.45,46,0.354185,89.9704,106.643,-1.95948,1.4,7.04,0.79545454,0.6,-3.52406,42.60582991598516
41161,Wing G,2011,tim kamczyc,105.7,53.0,55.17,40,0.907361,95.1168,97.4914,0.353217,1.3824,6.1471,1.11908046,0.5366,1.76004,41.94728105877429
41162,Wing G,2012,tim kamczyc,125.3,64.7,66.71,85,3.32825,116.798,96.2376,3.77581,2.125,9.0,1.61904762,0.7447,5.72241,47.74837464502578
41164,Wing G,2013,tim kamczyc,100.1,46.5,48.29,46,0.85945,93.527,109.188,0.197117,1.3448,7.7931,1.21877833,0.5789,-0.89475,41.434498659563175
41171,Wing G,2015,tim marshall,101.9,46.5,48.21,29,1.20482,102.811,109.632,0.722527,1.0667,11.7333,0.96972724,0.6071,-1.49895,37.69627615608644
41173,Wing G,2010,tim meadows,91.4,42.4,45.77,37,-0.331677,82.5606,101.855,-2.6862,1.7083,7.375,1.13886666,0.54,-1.97165,43.15776402595551
41174,Wing G,2011,tim meadows,83.4,37.3,41.85,32,-0.961667,75.3412,111.349,-4.81811,0.7692,5.5385,0.62495938,0.5588,-6.02683,42.36622240035341
41181,Wing G,2014,tim peete,102.6,50.7,54.5,45,0.552187,95.5092,96.8169,0.0514667,1.7059,5.2941,1.41462809,0.6863,3.11797,47.46215086815833
41190,Wing G,2016,tim quarterman,109.8,50.0,53.0,70,2.7121,115.218,102.065,3.987,3.6364,11.1515,2.26411809,0.6421,4.51619,52.92244060111126
41203,Wing G,2011,tim steed,100.1,54.2,54.86,85,1.77341,107.312,103.075,2.94817,1.92,10.76,0.87272723,0.6122,1.80977,39.55365144793486
41212,Wing G,2010,tim williams,100.0,47.5,49.89,135,2.29497,105.422,101.791,2.49911,2.2667,15.9333,0.89476181,0.5938,1.74076,41.200081052556015
41213,Wing G,2011,tim williams,97.7,46.4,49.63,87,1.47893,100.44,112.986,0.077781,1.4,13.0,0.66037738,0.61,-2.87556,40.65624196569665
41219,Wing G,2021,timmy allen,101.5,48.0,53.64,143,4.06678,118.96,94.8685,3.27323,3.92,17.16,1.25641033,0.5965,4.35007,54.03537880804841
41220,Wing G,2020,timmy allen,98.5,45.0,50.83,181,3.39679,113.297,96.2828,0.99898,3.0,17.3226,0.97895249,0.5592,1.39739,49.4186002824403
41221,Wing G,2019,timmy allen,116.6,58.4,62.57,123,3.51863,122.87,107.751,2.5891,2.4483,12.2414,1.20339151,0.6313,2.66863,49.11511758884602
41222,Scoring PG,2020,timmy falls,92.2,47.4,49.33,51,-0.0481691,84.868,100.024,-3.17834,2.8387,6.5806,1.62965733,0.5,-1.94765,45.49734404991708
41230,Scoring PG,2017,timmy rose,102.8,53.0,56.2,52,0.895573,97.4656,110.921,-1.46493,3.625,7.3125,1.96604843,0.5211,-2.57491,51.78901232750944
41231,Scoring PG,2018,timmy rose,87.4,46.9,48.85,33,-0.4884,81.1867,114.122,-4.58471,2.8065,4.5806,1.58183971,0.5,-7.3519,46.649935255997576
41260,Wing G,2017,tiwian kendley,94.7,43.5,51.48,87,1.87686,104.553,106.836,1.58328,1.6,20.88,0.36697247,0.4627,0.0983543,41.92177238038104
41273,Scoring PG,2014,tj bray,130.3,62.5,66.72,97,5.89042,136.438,99.6892,6.8339,5.2,18.12,2.88888886,0.6777,9.38973,60.666022046913085
41275,Scoring PG,2013,tj bray,114.4,54.2,57.94,47,3.18517,111.142,97.5153,2.4309,3.6538,10.4231,2.11104688,0.6167,4.00403,54.911810361169216
41276,Scoring PG,2015,tj buchanan,104.8,50.0,55.77,58,1.23365,103.019,89.1123,0.0402365,2.5455,5.8788,1.71437235,0.5882,4.18834,53.14678604939815
41282,Wing G,2016,tj carpenter,88.1,44.0,48.31,58,0.280493,90.7085,109.327,-1.8268,2.4667,12.1,0.84093003,0.6,-3.75904,44.98738605401197
41283,Wing G,2013,tj carpenter,101.0,49.6,52.14,42,1.01355,95.0338,110.056,0.066669,1.6538,10.0,1.04876657,0.5667,-1.81256,41.83028631190385
41284,Wing G,2015,tj carpenter,87.9,43.7,48.1,57,0.215497,89.6233,109.678,-2.16307,2.1481,10.9259,0.79450377,0.5349,-4.89561,44.10289707737142
41285,Wing G,2014,tj carpenter,92.7,43.8,45.45,30,0.0831808,89.2099,114.301,-2.27413,1.25,8.9643,1.02939962,0.5532,-5.40176,38.50792937821507
41290,Scoring PG,2017,tj cromer,112.0,56.4,60.11,114,3.58645,120.519,100.204,4.75546,3.1714,19.1429,1.14433142,0.6053,4.61217,45.78001643133455
41306,Wing G,2017,tj dunans,83.8,41.5,42.88,90,0.184265,89.9923,101.432,-1.81203,2.4516,8.1935,1.05554129,0.5676,-1.47801,42.58586807131991
41308,Scoring PG,2020,tj gibbs,116.2,53.4,57.16,66,3.72299,116.318,101.364,2.45729,3.25,13.3125,2.66655738,0.5254,3.2795,52.05654391703097
41309,Scoring PG,2019,tj gibbs,103.7,43.1,47.5,71,2.84303,110.178,104.098,0.712648,3.4062,13.4375,2.94602991,0.5432,1.09126,53.27923187369485
41320,Scoring PG,2020,tj haws,108.3,53.2,55.87,103,3.77786,119.229,94.735,3.41186,5.5938,14.0312,2.18294637,0.6625,4.66112,58.511120117694844
41321,Scoring PG,2018,tj haws,105.1,48.4,53.17,89,2.10595,106.008,99.3517,0.682068,4.1714,11.7143,2.21212287,0.6447,1.52176,56.32952330816582
41322,Scoring PG,2019,tj haws,117.2,53.9,61.13,117,4.62248,127.765,104.431,5.666,5.0625,17.8125,2.15995386,0.6667,6.01105,62.913304006461445
41323,Scoring PG,2017,tj haws,105.3,53.3,57.69,71,2.28709,109.339,101.623,2.30407,3.2353,13.8235,1.27907801,0.569,2.44578,49.00754522491374
41332,Wing G,2016,tj lang,117.2,58.3,60.52,16,1.76651,108.445,107.144,-0.00321969,0.6452,7.0645,1.0,0.4762,0.260691,39.129699761978806
41344,Scoring PG,2011,tj mcconnell,114.5,56.0,57.57,91,2.64628,111.342,89.1415,2.51592,4.3226,10.6774,2.43636567,0.6154,7.06748,52.46977957216558
41350,Wing G,2012,tj price,94.7,47.6,51.29,31,0.862465,94.6943,98.5614,-0.322411,1.8,9.0,0.79410594,0.5758,0.00136051,43.92217834592864
41351,Wing G,2014,tj price,107.1,49.9,53.77,77,2.75815,115.312,101.166,3.35742,1.9655,15.3448,0.94997583,0.6575,4.37028,43.93822928214472
41364,Scoring PG,2018,tj shorts ii,112.2,53.6,59.72,148,3.5896,120.671,98.2478,2.93173,4.3636,14.9091,1.77779582,0.6114,5.7609,57.72050654863624
41365,Scoring PG,2019,tj shorts ii,100.2,49.8,54.58,137,2.4962,109.099,101.085,0.893502,4.3448,15.1724,1.43180101,0.5652,2.21514,53.1583695868125
41369,Scoring PG,2019,tj starks,83.4,40.8,44.09,94,1.06748,98.6524,101.24,-2.45067,3.4815,12.3333,0.91262973,0.5278,-3.95847,46.92688650766996
41379,Wing G,2016,tj wallace,94.5,43.6,47.04,67,1.0583,98.1979,101.863,0.0470802,2.12,11.12,1.15217383,0.4875,0.991671,43.29547598156874
41382,Wing G,2015,tj wallace,96.6,45.8,50.33,84,2.03697,106.642,107.124,1.40827,2.5862,13.0,0.93750453,0.5484,-0.271158,47.176083774377915
41386,Scoring PG,2020,tj washington,87.2,41.5,46.66,73,0.808354,92.8442,104.723,-2.01547,4.6071,12.3571,1.27723102,0.4783,-3.53534,53.95566995982562
41388,Wing G,2022,tj weeks jr,118.9,52.5,55.69,45,2.87496,118.55,111.575,4.01237,0.8667,9.5667,1.44449993,0.623,1.97368,43.952133962040534
41393,Scoring PG,2017,tj williams,110.3,50.5,57.13,166,4.8759,125.068,107.208,3.87693,5.2667,21.4,1.56435082,0.57,2.7888,59.2187244370585
41402,Wing G,2020,tobi ewuosho,94.7,52.0,56.06,116,1.20507,96.9534,103.239,-0.543543,1.375,12.6875,0.45361574,0.5954,-0.417699,40.35236973406646
41403,Wing G,2019,tobi ewuosho,89.9,41.5,48.04,58,0.141957,89.2564,107.971,-3.28562,0.6897,7.7241,0.37738017,0.5679,-4.12987,44.44361553675236
41404,Wing G,2018,tobi ewuosho,91.4,44.8,47.98,55,-0.145572,85.8837,115.064,-3.68398,1.4333,6.0333,0.87754856,0.5309,-5.06799,42.902799749805325
41410,Scoring PG,2019,tobias howard,94.2,45.7,48.38,53,0.829891,96.8213,113.054,-0.730504,2.4688,10.2188,1.06758922,0.4333,-3.53725,43.30322842622033
41426,Wing G,2010,todd brown,108.1,49.6,52.57,88,2.8625,110.606,95.4955,3.01783,2.1875,12.5625,1.42861803,0.6515,3.90203,46.018296318816915
41428,Scoring PG,2011,todd fletcher,102.1,51.7,55.53,31,0.79575,94.7943,103.074,-1.34366,2.7667,4.9667,2.12823087,0.68,-0.64516,52.85993370694139
41429,Scoring PG,2012,todd fletcher,101.1,50.0,56.05,48,1.52251,99.4911,100.343,-0.339695,3.3704,8.0,1.75003893,0.697,0.629633,57.231587683992885
41430,Scoring PG,2010,todd fletcher,99.6,51.4,54.98,33,0.669979,94.4173,106.169,-1.52688,2.1724,4.4138,1.79998343,0.8214,-1.5353,51.61427301880819
41431,Scoring PG,2013,todd fletcher,116.0,59.4,60.11,52,3.09926,112.728,105.292,2.7082,3.5333,9.5667,2.71792312,0.6389,2.48697,50.82920365361865
41439,Scoring PG,2011,todd lowenthal,96.9,36.5,40.27,19,-0.43686,82.2234,107.196,-1.8579,3.95,2.4,2.32352937,0.4615,-1.70299,56.7817292235804
41442,Wing G,2012,todd mayo,99.1,49.1,53.94,59,1.35223,104.207,93.254,0.233395,1.2,7.8571,0.73682921,0.625,1.19665,44.94946243457516
41462,Wing G,2013,tom droney,116.5,49.5,55.72,41,1.28852,102.521,98.3742,0.963195,2.1515,4.303,2.73067657,0.64,2.76276,56.1865957071912
41463,Wing G,2012,tom droney,93.0,44.1,46.55,33,-0.170688,83.3713,101.211,-1.55496,2.0625,3.4375,1.46671876,0.5,-1.15531,45.95080756958744
41464,Wing G,2011,tom droney,89.2,41.1,45.52,42,-0.418201,81.1871,103.303,-2.95406,1.9688,4.625,1.16669627,0.5075,-2.87198,47.45979372297241
41465,Wing G,2014,tom droney,106.8,53.4,57.59,74,1.59781,103.466,110.916,0.531021,3.1613,9.9032,1.44121262,0.58,-0.480776,50.95876706956335
41466,Wing G,2011,tom fow,113.6,60.0,62.32,51,2.76684,119.996,103.095,6.28587,0.9667,11.6,1.2608582,0.6591,4.94104,40.22403427997101
41491,Wing G,2013,tom tankelewicz,115.4,54.3,56.07,22,2.03218,107.613,110.942,2.39471,0.9667,9.5667,0.93554629,0.5417,0.236287,39.46175050333297
41507,Scoring PG,2013,tomas sanchez,100.6,51.2,57.13,57,1.47577,98.0673,108.381,0.0311305,3.9643,10.0714,1.46052391,0.5616,-1.08787,56.290897655209235
41508,Scoring PG,2014,tomas sanchez,105.7,47.4,54.68,61,2.27688,105.531,113.043,1.10226,4.2222,15.2222,1.34118994,0.4019,-0.685332,55.76193389157139
41521,Wing G,2011,tommie sykes,95.7,47.0,49.93,101,1.3732,99.3438,110.322,-1.13166,1.25,10.75,0.56451251,0.5714,-2.9049,40.3400156982171
41526,Wing G,2013,tommy brenton,107.2,45.1,51.37,81,2.39586,106.991,86.6688,2.83482,4.75,8.5,2.17142857,0.5385,6.6714,62.43720550476175
41528,Wing G,2012,tommy brenton,113.1,53.7,57.73,75,2.20547,107.227,92.9655,3.2673,3.2903,7.7419,1.67215525,0.5913,6.78875,53.52499788539555
41529,Scoring PG,2021,tommy bruner,92.8,47.4,51.15,67,1.6003,99.5824,113.088,0.0606759,4.0476,13.619,1.14864632,0.481,-3.19035,49.877117121499616
41537,Wing G,2010,tommy freeman,124.3,66.9,70.05,22,2.72655,114.95,103.917,2.94838,1.0278,10.2778,0.86051574,0.6842,2.65215,42.40999198080747
41539,Scoring PG,2019,tommy funk,101.5,49.8,53.95,93,1.72789,102.174,104.986,0.223355,5.9062,12.5938,2.0768689,0.5361,0.31161,59.26783001786846
41540,Scoring PG,2017,tommy funk,89.2,40.6,44.03,72,0.314874,90.8494,107.524,-2.99293,4.8438,9.125,1.76138184,0.439,-4.09464,53.957738131432855
41547,Wing G,2012,tommy hubbard,98.7,47.6,50.86,93,1.17055,96.0968,94.0008,-0.605187,1.2069,10.3103,0.53029573,0.59,0.906315,40.36521716073156
41548,Wing G,2010,tommy hubbard,101.9,46.2,50.61,165,2.14999,104.189,94.5299,0.0479418,1.2059,13.8824,0.54667028,0.5576,0.873273,40.84949093340052
41549,Scoring PG,2021,tommy kuhse,100.3,44.3,49.11,93,2.97173,109.239,90.8536,0.857996,5.0417,12.75,2.08619197,0.521,3.2381,58.688928969622566
41552,Scoring PG,2020,tommy kuhse,100.1,42.8,47.53,49,1.3465,100.175,99.1412,-0.347539,3.7812,6.1562,2.28305749,0.4691,0.0557971,56.47773988024012
41572,Wing G,2011,tone boyle,107.3,49.3,52.94,49,2.26353,105.545,102.69,1.63283,1.0606,12.9394,0.89744461,0.6275,1.52134,41.42674941209776
41573,Wing G,2011,toney mccray,96.8,53.1,54.47,67,1.23854,102.187,88.3994,1.21438,1.3125,8.4688,0.68854263,0.6667,3.11069,39.07836617248227
41592,Scoring PG,2018,tony carr,112.0,48.2,52.73,157,5.14698,130.04,96.0237,6.77033,5.027,19.5946,2.18822084,0.446,7.54649,55.90820201570172
41614,Scoring PG,2011,tony gallo,96.3,44.3,50.78,42,0.960258,96.4492,110.091,-1.52516,2.6667,11.0,1.07463227,0.4063,-3.42741,49.51696416112124
41615,Scoring PG,2012,tony gallo,112.6,51.5,57.01,67,3.78727,117.637,117.049,3.39429,3.8148,17.4815,1.6884876,0.5341,0.564835,53.73512597672749
41621,Scoring PG,2014,tony hicks,93.7,47.1,51.5,104,1.66558,105.329,109.865,0.353847,2.8889,14.9259,0.91766467,0.6263,-1.95026,46.64026312713197
41622,Scoring PG,2010,tony hooper,91.3,46.9,49.16,38,0.824141,94.0676,107.876,-0.386256,2.4615,11.0,0.79010717,0.439,-1.76359,41.56518914438231
41624,Scoring PG,2011,tony johnson,109.5,56.7,60.24,76,1.67241,102.298,104.308,0.626404,3.7742,8.4516,1.98308108,0.7033,2.03146,54.68188295709467
41666,Wing G,2012,tony snell,116.0,58.5,61.57,44,2.8017,117.298,93.0512,4.95675,2.3235,10.5,1.51922318,0.6842,6.57342,47.568702831006995
41667,Scoring PG,2013,tony snell,105.0,51.6,56.23,80,2.92387,112.42,93.548,3.9188,2.8857,12.5143,1.40280001,0.5536,5.51475,49.900581045173865
41669,Scoring PG,2010,tony taylor,106.7,46.8,50.43,80,2.06577,105.578,100.765,1.13967,4.1613,9.3871,2.52935822,0.7347,1.26781,57.62490658280322
41670,Scoring PG,2011,tony taylor,106.5,47.9,52.85,109,3.30149,114.901,101.547,3.072,4.6452,15.0,1.77779469,0.6053,3.39957,57.07823835284597
41671,Scoring PG,2012,tony taylor,100.1,44.4,50.22,105,2.73603,108.609,103.603,1.26658,4.3226,13.0645,1.54021021,0.5753,0.526995,57.5719301559344
41678,Scoring PG,2013,tony watson,123.2,59.1,62.73,31,3.65381,115.552,107.642,3.4173,3.5,11.4333,2.33333333,0.6,2.25852,54.49060649954923
41691,Scoring PG,2012,tony wroten,95.7,45.3,48.83,189,2.76456,112.145,93.6772,2.30166,3.7143,15.9714,0.98485972,0.5776,4.00112,48.24148061397831
41696,Scoring PG,2018,tookie brown,122.9,60.6,65.28,132,5.10432,132.832,102.432,6.04603,4.2812,18.9375,1.71247997,0.6289,8.6151,54.503346733251874
41698,Scoring PG,2016,tookie brown,111.2,49.2,55.79,121,3.66826,121.64,109.207,4.18173,3.2414,18.069,1.44614973,0.5438,4.26452,52.14028872343188
41699,Scoring PG,2017,tookie brown,106.5,47.1,53.26,109,3.13677,113.989,107.937,2.09621,3.9697,17.0606,1.79453915,0.5282,1.23563,54.38217357446763
41705,Wing G,2017,torian graham,110.6,55.4,56.89,122,3.62252,117.94,109.013,4.84099,1.1818,18.6061,0.88637217,0.703,3.43724,36.79367846794942
41711,Wing G,2015,torin dorn,105.4,55.2,57.04,120,1.97276,108.693,107.976,2.31096,1.25,12.0,0.67794774,0.7115,0.50337,39.40066958517548
41714,Wing G,2017,torin dorn,107.0,55.3,57.54,90,1.81775,109.789,105.649,2.01387,0.8438,9.5312,0.62792085,0.6304,0.902006,39.11252768915481
41717,Scoring PG,2017,torloft thomas,91.1,41.9,46.6,30,-0.372211,84.2392,117.019,-3.27527,2.4516,8.4516,1.08569153,0.2424,-6.20831,44.69403696179421
41718,Scoring PG,2015,torrance rowe,104.0,47.6,51.76,54,1.7599,104.527,112.589,1.83383,2.7241,11.4138,1.33895319,0.4697,-0.181897,47.876488683769985
41719,Scoring PG,2016,torrance rowe,110.4,50.4,56.18,91,3.73809,117.325,115.526,4.41753,4.5172,18.6897,1.65823568,0.5647,1.04211,56.00615618123759
41723,Wing G,2019,torrence watson,103.0,49.8,51.71,20,1.12689,101.786,101.104,0.75639,0.5312,7.0625,0.62953305,0.4242,1.18798,36.59481600895395
41733,Wing G,2022,torrey patton,98.1,48.5,51.98,122,1.94013,104.547,101.954,1.00783,3.4333,13.6667,1.05099948,0.5789,0.344503,47.979192028656826
41734,Wing G,2020,torrey patton,95.8,50.0,51.57,89,1.24036,97.9291,102.929,0.815631,1.6154,11.6538,0.67743018,0.5083,0.0991422,37.71318882579508
41744,Scoring PG,2010,tory jackson,107.9,47.9,50.51,75,2.71504,106.819,102.993,1.89624,5.2857,9.6286,2.68119092,0.5682,2.57097,59.62484818805226
41750,Wing G,2021,tory san antonio,110.1,53.8,56.23,20,1.51294,103.64,110.129,0.778436,2.3333,8.0,1.94441668,0.5294,-0.632104,46.53214941587047
41766,Wing G,2012,toure' murry,105.2,44.6,50.79,122,2.94453,114.731,90.4512,3.10357,3.375,12.25,1.52109244,0.625,5.2034,55.475710215673814
41767,Wing G,2010,toure' murry,104.9,48.5,52.49,96,2.5383,108.836,92.9699,2.82511,3.0,11.8529,1.45715952,0.6635,4.58623,50.59455995262785
41770,Scoring PG,2016,tra holder,100.8,45.4,51.16,91,2.63508,112.001,101.118,2.31415,3.6562,14.1875,1.39283807,0.4891,2.73786,52.76957345255714
41772,Scoring PG,2015,tra holder,88.1,35.0,45.35,46,0.51883,93.013,100.373,-2.23404,3.5938,7.0312,1.43752003,0.4912,-3.30635,62.54992994317356
41775,Wing G,2013,tré bussey,87.5,40.3,43.83,63,-0.0176295,85.0711,109.797,-2.06708,1.0,8.4516,0.62000123,0.5,-4.45383,39.97443506832866
41777,Wing G,2011,tré bussey,93.0,51.3,52.82,26,-0.0844382,85.1491,113.747,-1.60832,0.6667,6.3333,0.48650031,0.5882,-4.43141,37.14142539939857
41781,Scoring PG,2021,traci carter,95.1,46.9,50.06,59,1.37531,97.6901,94.0586,-1.12435,3.5417,11.6667,1.37099823,0.4242,1.86197,47.14868146332704
41783,Scoring PG,2022,traci carter,91.1,43.2,46.06,34,0.420273,89.4704,109.454,-3.23737,2.7727,9.6364,1.32607975,0.2857,-3.65646,43.46693658306201
