,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
20011,Scoring PG,2020,jason preston,108.9,55.3,58.16,157,4.29269,117.39,100.46,3.73039,7.4062,16.8125,2.008461,0.5825,4.56449,63.47620741655275
20014,Wing G,2022,jason roche,110.6,56.2,59.42,10,1.90473,100.477,111.251,0.716959,0.6774,13.1613,0.65620459,0.5556,-1.19808,37.75499966074772
20024,Wing G,2015,jason todd,110.8,56.6,56.25,33,0.964961,99.1443,105.306,1.3733,1.6129,4.8387,1.8517796,0.4643,1.24538,39.90751529205345
20033,Wing G,2020,jason whitens,100.1,51.3,52.48,44,0.31763,89.0681,105.872,-1.66544,1.4375,4.5938,1.21052632,0.5833,-1.64811,41.742473255256996
20034,Wing G,2021,jason whitens,99.1,48.3,52.28,40,0.366449,89.7851,107.766,-1.81216,1.2632,5.3684,1.09094056,0.6591,-2.37666,45.967961089638834
20053,Scoring PG,2016,javan felix,112.5,50.7,54.25,80,2.93846,119.628,98.7125,3.41143,2.1818,10.6667,2.0,0.5957,4.75552,48.16295599295607
20055,Scoring PG,2015,javan felix,106.2,52.6,54.41,45,2.10496,113.593,96.1207,3.05074,1.9677,8.7097,1.24490698,0.4211,3.76678,41.88330011330167
20056,Scoring PG,2014,javan felix,105.4,43.7,46.74,78,2.3075,113.778,100.451,1.80584,2.7647,11.6471,2.04353602,0.5238,2.02379,47.6641469052466
20068,Wing G,2018,javante mccoy,97.4,52.3,53.97,57,0.536126,93.7948,110.864,-1.78623,1.6774,8.871,0.92853586,0.5397,-3.12518,39.71629989023339
20070,Wing G,2019,javante mccoy,108.7,51.8,54.89,82,2.08788,107.531,111.236,1.52837,2.2812,12.0625,1.45996796,0.557,0.151684,45.20532103759817
20071,Wing G,2021,javante mccoy,110.4,52.3,56.36,81,3.29146,115.549,110.355,3.27355,2.1875,16.125,1.09375,0.6094,1.70109,45.41002133568506
20073,Wing G,2015,javares brent,102.2,45.9,47.37,10,0.470152,92.6729,105.245,0.587161,0.7419,8.0968,0.79305185,0.25,0.113274,34.20995173000961
20074,Wing G,2014,javares brent,93.7,45.7,47.48,21,-0.126563,87.0127,106.818,-1.41866,0.5806,8.9355,0.39997247,0.4194,-2.1082,33.68033243873469
20075,Scoring PG,2014,javarez willis,96.2,53.2,56.13,33,0.718374,98.5557,104.227,-0.291359,2.5556,6.8333,1.22670753,0.5319,-1.37814,46.3296068958531
20076,Scoring PG,2015,javarez willis,101.9,53.9,55.93,65,2.3624,107.964,109.163,2.19477,3.2069,14.8276,1.14815071,0.5,-0.386843,44.007247635093414
20101,Scoring PG,2013,javier duren,90.2,45.5,51.98,50,0.745497,95.0557,101.078,-1.65736,2.4483,7.5517,0.89875547,0.6216,-1.33844,52.10265079668095
