,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,AST_per,FT_per,twoPM,twoP_per,TPM,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,pts,unk,season,ast/tov,midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
19838,2017,jarrett allen,101.9,56.6,57.14,11.0,18.8,5.5,0.564,179,0.579,0,5.0,1.0,47.2,Fr,2.65605,111.598,2.6,96.8,91.3054,32.1515,2.13467,2.01551,13.3939,0.382352,4,0.3095266,0.4765,99.0269,4.198,209.689,3.4387,-0.15881,3.59751,4.15017,55.65
20273,2019,jaxson hayes,133.8,72.8,73.9,8.8,16.2,2.6,0.74,123,0.728,0,10.6,1.5,59.2,Fr,3.96095,136.739,5.7,79.8,88.6571,23.3438,3.95482,5.02707,10.0,0.0,4,0.31030677,0.3913,94.8033,3.27939,161.475,10.4958,3.60466,6.89117,8.98189,24.84
20421,2016,jaylen brown,95.4,47.1,51.76,4.5,16.5,15.1,0.654,133,0.482,30,2.2,1.7,57.4,Fr,2.2008,111.139,4.6,99.4,91.4564,27.6176,0.728962,1.94263,14.6471,6.30595,4,0.63810632,0.3017,96.1781,3.55465,185.694,2.64996,0.00518571,2.64478,2.67159,49.96
20553,2017,jayson tatum,108.9,50.7,56.61,4.9,19.7,12.4,0.849,125,0.504,40,3.2,2.3,38.1,Fr,4.16553,123.83,3.6,99.4,89.1819,33.3103,4.14057,2.5717,16.8276,6.93329,4,0.81577449,0.377,96.6201,4.59476,209.644,6.47515,3.17569,3.29946,6.71227,70.48
20854,2013,jerami grant,103.2,48.7,51.1,9.0,13.6,5.9,0.562,48,0.471,6,3.7,1.8,62.4,Fr,0.879381,103.078,3.8,90.6,86.2944,14.3,0.681628,2.53914,3.875,1.59204,4,0.6923077,0.32,91.0257,1.95325,103.972,3.79555,1.10662,2.68892,3.22077,35.63
21028,2011,jeremy lamb,116.6,54.8,56.84,5.0,12.2,12.3,0.797,136,0.546,46,2.2,1.9,15.8,Fr,3.39066,122.047,2.2,83.0,92.2786,27.8049,5.14917,2.31334,11.1463,6.74108,4,1.26925799,0.4277,98.9458,3.28292,196.267,7.02246,4.50206,2.5204,7.4625,44.46
21408,2015,jevon carter,106.2,45.1,48.64,4.6,7.2,14.8,0.77,47,0.423,48,0.5,4.7,23.1,Fr,1.74618,108.694,3.2,40.4,90.7856,23.7714,2.95885,3.55916,8.1429,10.5545,4,1.51220766,0.2667,95.9013,2.999,161.41,6.42701,3.79527,2.63175,6.51801,32.8
21688,2011,joe harris,105.3,54.5,56.96,4.6,14.0,10.3,0.759,42,0.42,65,1.5,1.9,22.7,Fr,2.36588,109.675,3.0,73.8,97.0835,29.3548,2.95883,1.24265,10.4194,11.1003,4,0.79596357,0.3019,100.621,3.01558,152.191,5.23394,3.05488,2.17906,4.20148,41.05
21825,2014,joel embiid,112.0,62.9,65.5,12.7,27.3,11.5,0.685,106,0.639,1,11.7,2.3,83.6,Fr,2.92867,124.998,5.8,97.4,83.519,23.1071,4.24577,6.35075,11.1786,0.444178,4,0.57574986,0.3846,90.0859,3.6851,176.276,12.7402,3.37781,9.36236,10.5965,76.47
21979,2016,john collins,110.3,54.7,58.92,12.6,16.7,3.5,0.691,81,0.547,0,5.0,1.1,63.5,Fr,1.56539,119.529,7.4,63.2,99.4688,14.3871,1.35353,0.649195,7.3226,0.0,4,0.22579999,0.4,107.265,1.46039,86.4562,0.750399,0.256339,0.49406,2.00272,46.6
22077,2010,john henson,95.7,49.7,49.15,10.7,17.8,10.9,0.438,84,0.515,4,9.4,2.5,40.3,Fr,0.851313,101.291,2.7,99.2,86.8228,15.8649,2.36556,4.81963,5.7297,1.67613,4,0.75555009,0.3103,92.0505,2.16987,149.79,7.42647,0.405596,7.02087,7.1852,31.87
22226,2010,john wall,108.7,50.3,56.18,2.7,10.1,34.8,0.754,165,0.509,37,1.5,2.9,53.0,Fr,4.41717,122.661,2.2,99.8,88.793,34.8108,4.82966,2.89544,16.6486,4.98101,4,1.61745724,0.315,93.3072,4.50963,247.229,7.09124,4.39997,2.69126,7.72509,52.04
22529,2017,jonathan isaac,118.8,56.8,61.37,7.7,25.0,7.5,0.78,99,0.593,31,6.2,2.4,46.1,Fr,3.31379,124.259,3.3,98.6,85.7333,26.1875,5.44522,3.71742,11.9688,5.82381,4,0.77080003,0.4333,92.6767,3.92563,213.687,8.94668,3.5937,5.35299,9.16264,64.44
22786,2011,jordan clarkson,96.7,47.8,55.07,2.0,7.8,17.8,0.793,77,0.487,20,0.5,1.8,54.0,Fr,1.77152,107.059,3.7,59.0,100.56,24.8889,-0.0654497,-0.276427,11.4815,5.88676,4,0.66665511,0.3846,103.062,2.24599,106.363,-1.44798,-0.591905,-0.856076,-0.341877,44.77
23067,2015,jordan mclaughlin,94.5,40.7,44.83,1.8,8.6,30.1,0.652,61,0.407,28,0.8,2.8,36.4,Fr,1.65888,102.828,1.5,91.6,100.115,31.6364,1.24169,0.753877,12.0909,8.57646,4,2.00004385,0.3026,103.102,2.92898,120.924,1.90647,1.68889,0.217584,1.99557,39.79
23126,2018,jordan poole,108.0,53.5,57.55,0.8,12.8,9.0,0.82,34,0.523,38,1.4,2.5,29.4,Fr,1.24673,117.323,3.3,81.6,89.3059,12.2051,3.22238,3.17674,5.9744,13.7193,4,0.88003128,0.25,95.3795,1.69511,86.5604,4.45869,2.32799,2.1307,6.39912,47.22
23669,2014,josh hart,126.8,57.5,60.34,10.2,13.7,8.1,0.677,61,0.67,26,1.4,1.5,55.2,Fr,2.6629,124.859,4.6,84.4,92.9412,21.3824,3.51704,2.01626,7.7941,6.71722,4,1.57909808,0.4545,98.2602,2.67695,128.35,6.85895,4.84649,2.01246,5.5333,47.53
23705,2017,josh jackson,108.2,55.2,55.95,8.7,17.4,18.2,0.566,186,0.549,34,3.5,3.1,40.3,Fr,3.96351,125.309,3.9,100.0,89.032,30.7714,5.1048,3.50141,16.3429,4.65208,4,1.07216571,0.3691,95.418,4.21538,249.205,9.08058,4.44679,4.63379,8.60621,29.94
23804,2017,josh okogie,103.4,48.1,54.55,5.2,13.5,12.3,0.747,163,0.466,26,2.5,2.4,56.4,Fr,2.95936,115.324,3.4,63.8,90.7576,30.8378,2.22646,2.67989,16.1081,3.6172,4,0.79217721,0.403,96.3352,4.10337,221.734,3.51944,0.833887,2.68555,4.90635,39.78
23837,2012,josh richardson,82.8,40.3,43.23,3.9,6.3,7.9,0.64,26,0.426,9,3.3,2.1,25.5,Fr,-0.419763,77.8935,4.5,51.0,95.1624,15.7879,-2.8798,2.71463,2.8788,4.32562,4,0.70003299,0.3571,100.154,1.67675,85.1826,1.24189,-1.90303,3.14492,-0.16517,42.31
24351,2014,julius randle,111.2,50.4,56.59,13.4,24.7,10.0,0.706,193,0.516,3,2.6,1.0,73.7,Fr,4.08221,126.832,3.0,99.8,91.0035,30.825,4.90839,1.37976,14.975,0.875006,4,0.5643564,0.3466,96.732,4.09889,249.652,5.23199,3.14857,2.08342,6.28816,35.97
24432,2013,justin anderson,106.3,46.7,52.31,5.1,12.2,20.2,0.764,69,0.473,20,6.0,2.3,42.0,Fr,2.13559,110.949,2.3,90.2,87.2959,24.0286,2.98188,3.86498,7.6,5.11349,4,1.88368876,0.3385,88.9786,3.20764,159.427,7.74244,2.68901,5.05342,6.84686,30.61
24631,2017,justin jackson,105.7,52.9,55.97,7.3,16.4,6.3,0.702,70,0.443,45,3.0,1.8,36.2,Fr,2.19431,110.363,3.2,83.8,94.8781,27.8485,2.62768,1.35282,10.5152,6.62639,4,0.57406504,0.2658,99.1523,3.31066,177.504,4.20945,2.06726,2.14219,3.9805,20.83
24633,2015,justin jackson,114.0,52.0,54.67,5.9,8.8,15.1,0.71,129,0.544,28,2.0,1.1,28.3,Fr,3.11145,120.64,2.1,98.4,95.6694,27.1316,5.37067,1.40315,10.7368,5.13102,4,1.69234141,0.4161,103.534,2.96805,157.377,6.98571,5.26117,1.72455,6.77382,20.83
24637,2011,justin jackson,84.6,53.4,49.62,7.8,15.9,10.3,0.303,38,0.535,1,4.4,3.6,44.6,Fr,-0.200338,81.7751,6.3,68.8,84.8035,12.9143,-3.40729,5.08411,2.5429,0.414616,4,0.66663427,0.3077,88.4505,1.88095,97.9436,4.19103,-2.14591,6.33694,1.67682,20.83
24868,2015,justise winslow,112.2,55.1,57.2,5.4,19.8,13.2,0.641,127,0.516,46,2.9,2.8,43.8,Fr,3.46074,121.863,3.8,97.6,85.5702,29.1026,4.83748,4.19282,12.6154,5.83216,4,1.15495747,0.1765,92.0154,4.19758,246.908,9.53879,4.7201,4.8187,9.03031,34.11
25313,2015,karl anthony towns,122.7,57.0,62.72,14.1,22.2,11.5,0.813,143,0.577,2,11.4,1.4,52.3,Fr,3.50076,135.582,5.6,99.2,73.2127,21.1282,6.31975,6.80643,10.2821,0.606421,4,0.8301693,0.4375,77.2779,3.93509,202.777,14.8828,5.63939,9.24336,13.1262,62.81
25455,2010,kawhi leonard,106.5,46.8,50.79,13.7,23.7,12.1,0.722,140,0.513,15,2.6,2.8,33.1,Fr,3.16387,115.066,3.3,88.8,88.1581,31.4375,3.13155,1.60206,12.75,4.53808,4,0.81426288,0.3758,90.8009,4.13471,223.438,5.99483,3.0409,2.95393,4.73361,91.64
25624,2015,keita bates diop,117.1,57.0,58.8,4.9,18.9,9.5,0.679,26,0.481,18,6.7,2.0,30.1,Fr,1.03954,117.835,2.9,94.4,86.9556,9.9091,3.78106,3.69288,3.7879,7.15267,4,1.3079462,0.35,91.2173,1.3803,70.5637,6.44336,2.22131,4.22205,7.47394,33.11
26120,2012,kentavious caldwell pope,104.0,48.0,49.94,5.0,14.7,9.8,0.654,87,0.512,65,1.3,3.7,21.1,Fr,3.08951,113.741,2.7,97.8,93.0422,32.125,4.5191,2.19771,13.1875,13.5542,4,1.08337773,0.4167,97.9889,3.66979,193.437,6.1586,4.21228,1.94632,6.7168,44.9
26387,2017,kevin huerter,110.7,54.3,55.37,2.7,16.0,17.9,0.714,42,0.494,64,2.4,1.9,11.0,Fr,2.31176,110.273,2.4,87.2,95.2064,29.4242,4.21576,2.69708,9.303,10.3715,4,1.91312133,0.381,99.4954,3.46818,185.235,6.76639,3.79416,2.97223,6.91284,46.01
26488,2019,kevin porter jr,98.4,56.1,55.91,4.8,15.0,12.0,0.522,46,0.517,28,2.6,2.1,29.3,Fr,1.35541,105.347,3.8,94.6,97.8478,22.0952,1.39332,0.965498,9.5238,8.2556,4,0.76926388,0.3171,100.088,2.39508,94.1094,1.85504,0.566484,1.28856,2.35882,39.35
26565,2015,kevon looney,113.0,50.5,53.22,12.2,21.0,9.1,0.626,129,0.481,22,3.3,2.5,45.8,Fr,3.40004,119.258,3.7,98.0,91.9367,30.9444,4.43098,1.88494,11.5556,2.80204,4,1.13336,0.2613,96.2307,3.78196,242.473,7.63282,4.25398,3.37884,6.31592,51.22
26738,2010,khris middleton,107.8,51.1,55.43,6.6,12.7,10.4,0.75,45,0.517,33,1.4,2.5,38.9,Fr,1.8213,110.979,4.5,79.8,88.9265,20.9394,2.41804,3.03332,7.3636,8.41877,4,0.85001237,0.3488,95.6938,2.70989,131.273,7.10893,3.78742,3.32151,5.45136,57.49
27162,2013,kris dunn,96.0,41.5,47.16,6.6,13.2,22.8,0.69,45,0.413,4,1.1,2.6,47.2,Fr,1.09285,96.9394,4.5,97.0,91.2872,27.2,-0.986535,3.0332,5.68,1.24859,4,1.68085111,0.3125,96.3197,3.2349,128.602,3.65985,0.56284,3.09701,2.04666,40.8
27320,2013,kyle anderson,100.2,43.0,48.48,8.0,23.0,20.8,0.735,114,0.447,8,2.8,3.4,39.9,Fr,2.25417,107.292,2.8,99.6,86.789,29.8857,2.63314,3.87285,9.6571,2.08456,4,1.67123739,0.3401,90.5974,3.99921,263.563,8.05055,2.39874,5.65181,6.50598,44.06
27448,2015,kyle kuzma,102.4,52.0,53.46,5.0,20.9,16.8,0.581,23,0.548,11,2.2,0.3,40.8,Fr,0.669359,110.996,5.0,62.8,88.3311,8.129,0.128655,1.74312,3.3226,8.77845,4,1.05563209,0.3333,92.0979,1.10713,43.1138,2.79757,1.04838,1.74919,1.87177,26.59
27603,2011,kyrie irving,130.5,61.5,69.7,2.3,10.6,29.8,0.901,37,0.569,18,1.8,3.0,68.3,Fr,5.95161,148.528,3.0,99.8,87.1588,27.5455,9.48637,4.37825,17.4545,7.29491,4,1.74076183,0.4231,91.7011,3.80115,61.4034,12.1928,9.40502,2.78781,13.8646,60.61
27806,2010,lance stephenson,99.3,46.2,49.35,7.3,14.0,19.1,0.664,146,0.495,16,0.7,1.9,32.3,Fr,2.43413,110.932,2.8,98.4,93.3915,28.2353,2.87922,1.68549,12.3235,4.55624,4,1.03702143,0.3287,99.2715,3.1973,171.527,3.66146,1.66201,1.99945,4.56471,21.68
27852,2017,landry shamet,130.3,60.3,63.38,2.3,8.8,22.2,0.81,61,0.521,71,0.9,1.4,30.2,Fr,3.92745,129.934,3.2,70.6,93.9051,26.6667,6.02053,2.26095,11.5,9.82879,4,3.00009233,0.4,95.0558,3.26444,158.37,7.9924,6.6438,1.3486,8.28147,36.28
27863,2011,langston galloway,115.0,49.6,54.81,4.8,14.1,19.0,0.887,70,0.407,65,1.7,3.1,28.7,Fr,3.83301,118.707,2.9,66.4,103.382,34.303,4.54378,0.835637,12.7576,9.16564,4,2.37505144,0.3585,105.235,2.78156,208.595,5.53847,5.38694,0.151524,5.37942,37.46
28030,2017,lauri markkanen,130.1,58.4,63.45,10.0,17.5,5.6,0.835,116,0.545,69,1.8,0.8,43.6,Fr,5.35761,137.903,2.6,93.0,94.657,30.8108,7.74147,0.84563,15.5676,8.55561,4,0.8000185,0.4513,99.0583,3.66462,203.764,7.77584,6.9491,0.826736,8.5871,34.0
28531,2018,lonnie walker iv,107.9,50.3,52.74,1.7,9.2,13.0,0.738,76,0.487,56,1.8,2.0,20.4,Fr,2.47646,113.718,2.3,97.0,97.8887,27.75,2.92349,1.57556,11.5,10.7291,4,1.64867667,0.3036,101.866,3.01536,148.382,4.42331,3.28302,1.1403,4.49906,27.89
28533,2017,lonzo ball,129.4,66.8,67.26,3.2,14.3,31.4,0.673,109,0.732,80,2.1,2.8,28.6,Fr,5.50817,133.073,2.1,99.6,95.9566,35.0556,7.65462,3.37211,14.5556,8.28628,4,3.07867505,0.5172,99.8459,4.0114,275.837,11.0424,8.18346,2.85898,11.0267,56.21
28702,2019,luguentz dort,98.9,46.7,51.77,4.5,10.0,15.0,0.7,120,0.472,54,0.8,2.7,48.1,Fr,2.4587,110.24,3.8,94.2,97.309,31.5588,1.21371,1.11304,16.0882,8.97904,4,0.79796002,0.2889,100.209,3.46962,212.483,2.59497,1.73009,0.864884,2.32675,36.62
28838,2016,luke kennard,120.7,50.3,55.62,4.1,10.6,10.6,0.889,86,0.528,55,0.6,2.1,29.6,Fr,3.55767,126.594,2.9,96.0,99.0448,26.6944,3.91087,0.767283,11.8056,10.4129,4,1.92851627,0.413,106.756,2.7517,158.175,5.20396,5.06178,0.142178,4.67815,33.57
29138,2012,malcolm brogdon,93.1,46.5,51.44,3.1,12.6,13.2,0.8,41,0.451,22,0.6,1.5,31.4,Fr,0.793795,95.9328,2.4,80.6,89.5082,22.3571,-0.663274,1.7916,6.7143,7.1241,4,0.86362477,0.2222,91.276,2.85806,99.7032,1.18393,-0.906024,2.08995,1.12833,54.39
29241,2016,malik beasley,114.9,54.1,58.29,5.0,15.1,9.8,0.813,130,0.518,55,0.6,1.8,32.6,Fr,3.71706,123.97,3.0,92.4,98.7372,29.8235,4.89748,0.449452,15.5588,7.75132,4,0.86440388,0.3525,104.037,3.11598,182.98,4.21408,4.06388,0.150193,5.34693,34.39
29344,2017,malik monk,115.7,54.3,58.59,1.1,7.2,13.3,0.822,147,0.497,104,1.5,1.6,32.3,Fr,4.66659,129.887,2.4,98.0,94.1113,32.0526,6.14589,1.77952,19.8421,11.4944,4,1.14475,0.4011,99.9136,3.86031,210.41,6.1421,5.18184,0.960259,7.92541,29.21
29824,2013,marcus smart,102.2,45.5,53.24,5.4,14.2,26.8,0.777,113,0.465,38,2.2,5.3,57.5,Fr,3.43154,115.31,3.3,98.2,81.0731,33.5152,4.31411,5.71881,15.3636,7.01097,4,1.25225949,0.3561,85.2491,5.1168,272.437,10.5777,4.4735,6.10424,10.0329,57.53
29842,2012,marcus thornton,83.3,42.3,46.81,1.6,8.9,12.0,0.7,78,0.382,36,0.5,0.8,35.3,Fr,0.475812,90.612,2.3,19.2,113.874,28.0323,-2.38077,-4.13172,11.0,7.83037,4,0.50631771,0.3445,114.394,1.20853,110.232,-8.09814,-3.82232,-4.27582,-6.5125,33.81
29843,2011,marcus thornton,75.1,37.3,38.46,9.4,14.3,7.9,0.417,16,0.372,2,6.7,2.3,47.1,Fr,-0.425086,72.8884,3.7,76.0,90.4576,9.375,-3.64674,2.92157,1.5,1.64615,4,0.5651085,0.2222,94.3445,1.15923,60.5156,1.32248,-3.43489,4.75737,-0.725175,33.81
30255,2016,marquese chriss,109.3,56.2,58.64,9.8,11.7,6.3,0.685,159,0.57,21,5.9,1.9,38.3,Fr,2.66194,119.28,6.5,88.6,96.5835,24.9118,2.60641,1.63427,13.8235,3.61537,4,0.37681086,0.4211,100.93,2.74802,179.644,4.54953,2.03066,2.51887,4.24068,38.74
30453,2018,marvin bagley iii,123.8,64.0,64.35,13.8,21.4,8.8,0.627,247,0.647,23,2.6,1.4,47.5,Fr,6.01066,139.5,2.2,100.0,91.47,33.7576,8.30044,1.34425,21.0303,2.93586,4,0.66669599,0.4576,96.4998,4.41523,234.046,8.66296,6.3114,2.35157,9.6447,31.82
30561,2010,mason plumlee,98.6,47.2,48.89,9.1,15.2,11.3,0.543,47,0.48,2,6.1,2.3,43.4,Fr,0.774768,101.505,6.1,94.8,82.4137,14.1471,-0.605796,4.98865,3.6765,0.998679,4,0.93752652,0.1842,88.0142,2.16444,104.635,7.30161,0.688791,6.61282,4.38286,36.05
30632,2016,matisse thybulle,101.5,49.2,52.16,4.5,8.7,10.8,0.714,37,0.43,34,3.5,2.4,27.4,Fr,0.676045,96.147,5.4,79.4,97.9551,24.1176,-0.0887294,2.54087,6.2059,5.79314,4,1.14887148,0.2703,102.364,2.5477,163.201,4.20554,1.03002,3.17552,2.45214,50.71
31077,2010,matthew dellavedova,118.5,51.1,56.86,3.5,7.4,20.6,0.85,47,0.382,73,0.0,2.0,36.9,Fr,3.96235,116.855,2.4,21.0,99.3256,36.8182,3.32367,0.732434,12.3939,9.04171,4,2.26151203,0.3026,102.621,3.45928,183.011,5.35204,4.97928,0.372757,4.0561,34.33
31470,2011,meyers leonard,79.1,48.3,51.46,4.6,12.8,3.3,0.706,28,0.491,0,5.2,1.1,29.3,Fr,-0.165376,80.4576,7.4,94.2,91.1222,8.2424,-6.91448,2.55613,2.0606,0.222768,4,0.19228329,0.3226,98.6762,1.0202,48.9904,-1.48959,-4.74511,3.25552,-4.35835,29.69
31575,2012,michael carter williams,112.5,49.1,50.78,3.9,11.7,34.3,0.565,18,0.45,7,2.9,4.6,39.7,Fr,0.999347,113.671,3.7,95.0,86.2626,10.3462,2.4281,4.43866,2.6923,4.083,4,3.37487805,0.2778,89.7959,1.43225,57.4751,7.0076,3.80363,3.20397,6.86676,45.4
31742,2012,michael kidd gilchrist,111.8,51.1,57.05,10.3,16.1,10.8,0.745,147,0.535,13,2.8,1.9,58.9,Fr,3.64184,119.42,3.1,99.6,86.5498,31.125,3.86278,2.87296,11.9,2.44492,4,0.86206898,0.3561,90.971,4.29842,242.953,8.18856,5.00434,3.18423,6.73574,47.81
31979,2016,mikal bridges,125.2,59.1,63.3,5.7,12.4,7.5,0.787,63,0.716,23,3.6,3.1,45.5,Fr,2.36518,121.561,4.4,84.0,86.6959,20.325,3.52478,5.00786,6.35,5.62484,4,1.45833328,0.3333,92.0014,2.97133,171.493,10.5968,5.19129,5.40555,8.53264,57.48
32201,2010,mike muscala,107.0,47.4,51.89,7.6,16.2,7.5,0.806,110,0.476,6,9.6,0.7,28.7,Fr,1.62216,104.861,3.3,9.2,102.388,24.8333,0.717015,0.865896,9.8667,1.6452,4,0.7931106,0.3862,99.414,2.0441,146.557,1.67157,-1.42871,3.10028,1.58291,37.58
32393,2017,miles bridges,106.6,56.3,58.01,5.7,23.0,14.5,0.685,121,0.55,56,4.9,1.2,25.3,Fr,3.70524,121.197,2.3,97.8,89.0446,31.9643,6.17448,3.32584,16.8929,9.40134,4,0.8787917,0.3617,95.9681,4.42432,197.051,8.43413,3.64606,4.78807,9.50032,46.58
32715,2013,montrezl harrell,114.5,57.7,57.09,11.4,14.6,2.5,0.508,97,0.577,0,4.9,1.9,37.5,Fr,1.68891,115.759,3.1,84.0,83.4225,16.2,3.33385,2.49359,5.65,0.0,4,0.3478261,0.25,88.1774,2.3513,123.603,5.70546,2.23038,3.47508,5.82745,55.19
32745,2016,moritz wagner,107.7,62.7,62.18,9.3,13.2,3.1,0.556,34,0.708,2,2.7,1.4,30.5,Fr,0.556937,106.47,7.3,76.4,98.4756,8.6897,-3.27977,0.947082,2.8966,2.66075,4,0.26662799,0.4,103.263,0.915181,44.1697,0.0580361,-0.6493,0.707336,-2.33269,33.26
32974,2015,myles turner,109.4,48.8,55.61,7.2,24.9,6.2,0.839,100,0.513,17,12.3,0.8,43.6,Fr,2.57861,121.208,4.3,99.0,81.3327,22.2059,3.08008,5.45255,10.1471,5.20698,4,0.42549187,0.4255,85.3599,3.51116,185.417,7.38281,0.519533,6.86328,8.53262,41.62
33079,2019,nassir little,107.8,50.5,55.07,9.2,16.9,6.1,0.77,117,0.529,14,3.3,1.5,36.6,Fr,2.06833,120.333,3.6,99.6,90.2613,18.1944,2.44311,1.69912,9.8056,4.18961,4,0.47918697,0.3263,96.0253,2.46613,144.019,3.87487,1.85473,2.02014,4.14224,43.28
33444,2013,nerlens noel,109.0,59.0,58.26,10.4,22.3,9.5,0.529,98,0.59,0,13.2,3.9,62.7,Fr,2.61518,109.012,3.2,100.0,78.8597,31.875,3.95391,7.13561,10.4583,0.0,4,0.84442666,0.3284,81.3956,5.17641,227.307,12.8608,2.47414,10.3866,11.0895,42.0
33811,2018,nickeil alexander walker,105.3,55.4,57.53,3.6,14.0,10.6,0.73,66,0.516,58,2.5,1.9,22.8,Fr,1.94488,110.068,2.3,92.2,97.6823,25.4545,2.70234,1.4768,10.6667,10.0315,4,0.94225158,0.2,101.74,2.77424,163.539,4.39723,2.10999,2.28724,4.17913,26.32
33916,2013,nik stauskas,121.9,59.6,63.05,2.1,9.6,7.8,0.843,58,0.5,79,0.8,1.2,28.0,Fr,3.955,122.565,0.9,78.2,95.9965,30.8421,5.31687,1.00394,11.1316,9.60529,4,1.18179463,0.339,102.225,3.16947,171.721,6.76203,5.67386,1.08817,6.32081,21.33
34098,2014,noah vonleh,109.1,56.0,60.43,10.8,27.3,4.9,0.716,97,0.53,16,5.4,1.9,62.0,Fr,2.41123,114.674,4.1,98.0,86.69,26.4667,2.72525,3.33363,11.2667,2.41028,4,0.2812544,0.3934,90.6372,3.93211,195.609,5.27582,0.682888,4.59293,6.05888,34.15
34169,2012,norman powell,96.8,45.6,46.58,1.9,13.7,12.2,0.643,32,0.405,24,1.8,1.6,9.4,Fr,0.50024,93.8512,3.1,89.6,97.1725,17.6875,-0.34388,0.895745,4.5312,7.5926,4,1.60851424,0.3095,99.0608,1.7907,92.0277,0.806276,-0.142067,0.948342,0.551865,33.45
34278,2016,og anunoby,114.2,62.5,60.68,11.4,11.7,6.6,0.476,53,0.609,13,5.6,3.4,36.2,Fr,1.21616,113.586,4.5,41.4,92.4393,13.7059,3.36225,3.60479,4.8529,3.59206,4,0.64286582,0.3333,96.7728,1.73042,101.575,7.95513,3.58777,4.36735,6.96704,51.4
34723,2012,pat connaughton,110.0,52.5,54.67,4.9,16.7,7.9,0.757,44,0.543,41,0.6,1.3,18.4,Fr,1.76785,107.136,2.2,80.8,94.7319,24.1176,2.39116,1.08071,7.0294,9.48861,4,1.25003536,0.2593,98.7538,2.6076,137.119,2.91048,1.97325,0.937229,3.47187,42.13
34817,2015,patrick mccaw,103.4,51.8,53.79,2.9,8.6,17.5,0.712,47,0.448,57,1.1,2.9,20.3,Fr,1.89573,106.046,2.1,60.6,98.9902,29.5938,2.25394,1.04529,9.5938,10.132,4,1.50881424,0.3125,100.476,2.88467,152.758,3.5434,3.07866,0.464734,3.29923,23.07
35082,2011,perry jones iii,108.7,54.7,57.68,9.6,15.9,7.5,0.685,155,0.556,2,3.0,0.9,43.9,Fr,3.25933,114.12,2.9,98.8,95.7841,33.8621,2.41683,0.507393,13.8966,0.602041,4,0.49253341,0.3721,97.7252,3.64363,172.136,2.50737,1.54514,0.962232,2.92422,21.52
35391,2018,pj washington,105.5,52.7,55.76,7.9,14.8,10.4,0.606,129,0.542,5,3.5,1.6,80.3,Fr,2.43499,113.541,4.0,97.2,93.9672,27.3514,2.00191,2.5152,10.7838,1.1812,4,0.80280371,0.3448,100.072,3.35611,196.468,5.42862,2.25743,3.1712,4.51712,42.24
35641,2012,quinn cook,117.9,46.6,52.41,1.8,8.0,31.5,0.776,33,0.55,14,0.5,2.1,42.2,Fr,1.60556,125.454,2.7,93.6,96.6754,11.7273,4.00236,0.826062,4.4242,8.43636,4,3.49972525,0.4286,102.237,1.19843,62.1373,3.89808,4.93281,-1.03473,4.82843,14.57
36161,2011,ray mccallum,109.1,48.0,53.75,4.9,10.6,29.4,0.687,109,0.48,25,0.5,2.7,64.9,Fr,3.25766,114.857,2.6,95.0,102.413,33.3438,3.5975,0.140181,13.4062,4.12776,4,1.90357771,0.2769,103.062,2.79266,193.742,3.83692,4.24921,-0.412292,3.73768,26.46
36315,2011,reggie bullock,103.4,45.3,46.13,5.9,13.6,7.5,0.565,33,0.465,29,0.7,2.5,13.6,Fr,1.09602,108.017,2.6,97.2,88.1859,14.5185,2.75804,2.64626,6.1481,13.6379,4,1.23073725,0.4667,93.9454,1.95175,82.9402,5.59167,3.68159,1.91008,5.40431,36.92
36787,2019,rj barrett,108.0,50.6,53.19,4.8,17.2,23.5,0.665,246,0.529,73,1.2,1.4,31.9,Fr,5.37716,131.547,2.1,100.0,89.0179,35.2632,5.86672,1.30984,22.6316,9.60522,4,1.33335401,0.3824,95.1227,4.9322,254.326,5.93047,4.58557,1.3449,7.17656,32.54
37227,2012,rodney hood,113.2,52.4,53.51,3.5,13.3,11.9,0.659,80,0.506,47,1.3,0.8,14.3,Fr,2.68116,109.801,1.6,94.4,101.833,32.8125,2.77567,0.120008,10.25,7.46548,4,2.13333333,0.4688,104.614,2.72746,158.152,3.52772,3.30626,0.221459,2.89568,29.99
37241,2010,rodney mcgruder,126.0,59.1,61.03,9.8,15.0,7.8,0.72,28,0.56,18,2.6,1.4,26.9,Fr,1.46629,120.59,2.7,79.0,90.7629,12.303,6.1391,2.05841,3.8788,5.85739,4,1.13355342,0.4074,97.5746,1.5031,76.2644,7.40763,4.87837,2.52927,8.19751,23.78
37441,2014,rondae hollis jefferson,113.1,49.4,54.44,10.4,15.7,11.0,0.682,119,0.502,2,4.3,1.8,61.1,Fr,2.69047,119.404,3.8,97.2,84.1936,25.2632,2.86751,4.57465,9.1316,0.646312,4,1.25002159,0.2571,88.6868,3.936,189.697,8.51251,2.76207,5.75044,7.44216,43.95
37671,2012,ryan anderson,96.8,47.2,50.84,6.7,23.4,8.8,0.673,102,0.498,23,2.0,0.9,38.1,Fr,1.84163,103.683,2.0,73.4,98.9646,29.871,1.45391,-0.432615,11.1935,5.62042,4,0.62496769,0.3458,101.819,2.80449,176.825,-0.171271,-0.493809,0.322538,1.02129,46.01
