,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,test_score
3642,Scoring PG,2012,ben drayton,101.0,50.2,52.84,19.3,1.81205,102.312,0.404485,2.8571,1,2.23804,33.61882504939154
3643,Scoring PG,2011,ben drayton,100.9,50.0,54.16,31.7,2.41571,105.029,1.17043,4.7241,2,2.20618,39.874163420304455
3644,Scoring PG,2010,ben drayton,104.0,48.8,52.6,18.5,1.4975,103.731,1.02348,2.0714,3,1.21026,41.2479363995301
3650,Scoring PG,2014,ben eblen,80.3,38.9,38.25,25.3,-1.10345,72.9631,-5.66531,2.6667,1,1.65021,16.249487763084083
3661,Scoring PG,2010,ben hansbrough,120.7,57.2,60.68,22.6,4.28969,120.962,4.38391,4.3714,2,2.90299,44.056320373947514
3662,Scoring PG,2011,ben hansbrough,121.6,58.6,63.46,26.8,5.95559,135.523,7.56948,4.2647,1,3.6609,47.255447738377384
3685,Combo G,2010,ben louis,90.6,46.6,47.42,17.6,-0.246717,83.1013,-3.86249,2.4848,2,2.29467,28.1373818505455
3690,Combo G,2011,ben martin,100.9,45.4,48.57,11.7,-0.230233,84.0331,-2.35248,1.7083,2,2.28904,33.67824007023798
3694,Combo G,2016,ben millaud meunier,114.9,52.5,57.84,13.9,2.19661,111.448,2.67191,1.7241,1,1.19002,40.88872422615049
3697,Combo G,2012,ben mockford,97.6,47.8,49.46,8.2,0.839555,93.6146,-0.193517,1.2,3,2.1236,38.413374447803314
3698,Combo G,2014,ben mockford,118.2,56.7,58.32,6.2,2.13329,109.139,2.64843,0.8621,1,2.03276,36.95355139169904
3699,Combo G,2013,ben mockford,116.9,54.0,56.4,6.9,2.22875,107.796,2.44113,1.0,2,1.41827,39.96140732479902
3705,Scoring PG,2019,ben nakwaasah,99.3,50.2,53.55,22.1,1.00581,99.0387,-0.248854,3.0571,1,2.11239,34.261403546470994
3715,Scoring PG,2018,ben richardson,109.5,57.9,59.58,20.9,1.83108,104.64,0.776757,3.7857,1,3.73561,35.79381700246956
3716,Scoring PG,2016,ben richardson,105.8,54.3,56.46,14.5,0.703411,96.5267,-1.02964,1.6774,3,2.25607,39.37553011207429
3717,Combo G,2017,ben richardson,109.3,55.3,56.52,16.7,1.68972,102.931,0.207756,2.9375,2,2.96141,35.663960596316116
3730,Combo G,2021,ben shungu,114.7,51.9,59.99,23.0,2.80313,112.939,2.1377,3.5333,1,2.72453,44.38766080467252
3736,Scoring PG,2010,ben smith,118.9,49.7,56.38,21.2,4.97493,123.97,5.4656,3.6364,1,3.27188,44.20182363557989
3741,Scoring PG,2010,ben uzoh,113.6,51.5,56.22,29.6,4.19765,120.937,5.55721,4.6471,1,3.62521,42.25620821390558
