,pos,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,twoP_per,blk_per,stl_per,porpag,adjoe,mp,ogbpm,dgbpm,pts,season,ast/tov,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,gbpm,score,test_score,diff
23853,C,2015,josh smith,101.6,52.0,55.49,11.7,20.8,0.52,2.2,1.5,0.424566,100.291,9.5484,-0.348933,1.71179,2.4194,2,0.23522975,0.5806,95.3781,1.20989,57.3555,1.36285,45.870646766169166,35.918703007575274,-9.951943758593892
23854,C,2014,josh smith,74.5,35.2,37.57,6.2,18.3,0.352,2.2,0.4,-0.572087,71.4229,9.9667,-7.01798,1.0736,1.5667,3,0.31258206,0.4762,95.4866,1.29614,49.8325,-5.94439,45.870646766169166,28.982390059857877,-16.88825670631129
24328,C,2014,julius randle,111.2,50.4,56.59,13.4,24.7,0.516,2.6,1.0,4.08221,126.832,30.825,4.90839,1.37976,14.975,4,0.5643564,0.6701,96.732,4.09889,249.652,6.28816,42.03269367448472,58.01622299282178,15.983529318337062
24574,C,2010,justin hamilton,120.4,61.7,64.27,13.9,13.4,0.617,4.8,0.7,2.10755,114.579,21.3871,2.05068,2.02226,6.3548,3,0.33336778,0.6923,100.782,2.37825,121.196,4.07293,30.64676616915424,43.16589348570214,12.519127316547902
24575,C,2012,justin hamilton,110.0,49.8,55.31,11.8,15.3,0.503,4.7,1.5,3.21694,117.071,30.0,3.53487,1.85584,12.9091,2,0.52631273,0.621,94.9102,3.56051,187.441,5.3907,30.64676616915424,32.34511856104787,1.6983523918936285
24606,C,2014,justin jackson,104.2,53.2,52.38,13.6,17.4,0.532,12.1,3.7,2.40134,113.234,27.7647,2.7021,6.29519,11.1176,1,0.88059471,0.6503,83.5631,4.67187,230.53,8.99728,20.36958066808814,30.276598725118788,9.907018057030648
24607,C,2013,justin jackson,82.5,42.3,44.09,9.5,20.4,0.455,7.8,3.2,-0.0789536,84.0245,18.8,-2.69307,5.76329,3.8333,2,0.81483333,0.5893,82.306,2.99525,138.974,3.07022,20.36958066808814,31.836821628817063,11.467240960728923
24608,C,2012,justin jackson,96.6,52.0,52.55,10.1,12.6,0.546,8.2,2.6,0.769453,96.3615,21.0811,-2.20804,4.55853,5.0811,3,0.70911538,0.6091,91.8662,2.70487,157.479,2.35049,20.36958066808814,32.81894699954606,12.449366331457917
25290,C,2015,karl anthony towns,122.7,57.0,62.72,14.1,22.2,0.577,11.4,1.4,3.50076,135.582,21.1282,6.31975,6.80643,10.2821,4,0.8301693,0.719,77.2779,3.93509,202.777,13.1262,82.99928926794598,63.803313866366565,-19.195975401579418
25973,C,2011,kenneth faried,115.1,61.0,60.98,19.9,30.9,0.61,8.1,3.4,4.26953,121.607,35.2188,6.15886,2.13499,17.25,1,0.38822381,0.7056,85.7528,4.9022,292.319,8.29385,44.87562189054727,44.90183436935902,0.026212478811750373
25974,C,2010,kenneth faried,108.9,57.0,58.17,15.8,37.3,0.575,7.9,3.1,3.18258,115.738,30.7879,3.98651,2.22414,16.6364,2,0.20483462,0.7049,83.9491,4.42817,279.652,6.21065,44.87562189054727,55.99207040601317,11.116448515465898
26702,C,2013,khem birch,109.9,56.3,59.06,12.0,16.3,0.563,12.0,1.8,1.78585,108.916,21.8462,2.02006,5.2956,7.1538,3,0.48385475,0.7059,86.5249,3.28637,137.393,7.31565,37.85358919687279,45.285111740789404,7.431522543916614
26703,C,2014,khem birch,117.8,51.0,56.9,13.9,20.3,0.51,10.9,1.2,3.29549,118.76,31.4242,3.71298,4.33677,11.5455,2,0.90909775,0.6228,90.5787,4.39771,246.245,8.04974,37.85358919687279,44.54188615881044,6.688296961937652
27456,C,2012,kyle o'quinn,113.8,59.6,63.0,11.6,25.0,0.621,9.1,1.1,3.38124,117.241,31.2353,3.33678,2.16957,15.9412,1,0.56181236,0.7487,91.3461,3.56579,255.631,5.50635,45.00355366027009,31.364708073390588,-13.638845586879505
27457,C,2011,kyle o'quinn,115.8,57.7,61.49,11.8,26.1,0.625,10.5,1.0,3.36962,116.319,32.8125,3.75924,0.581714,16.4375,2,0.47058824,0.7206,97.4211,2.73774,252.189,4.34095,45.00355366027009,39.519271814209034,-5.484281846061059
27795,C,2010,lance thomas,99.1,43.9,50.22,10.4,11.0,0.439,0.8,1.4,0.856023,95.4928,25.25,-0.837577,2.36188,4.775,1,0.59016393,0.6026,94.5901,3.25753,167.533,1.52431,17.526652452025594,13.34626832765079,-4.180384124374804
27933,C,2010,larry sanders,112.8,54.0,56.35,13.1,25.2,0.547,9.1,1.6,3.51395,123.657,26.8857,4.31436,2.02299,14.3714,2,0.58620484,0.6884,89.8001,3.47458,228.258,6.33735,35.73560767590619,39.17237269326668,3.436765017360493
28037,C,2010,lavoy allen,114.8,54.4,55.71,12.3,23.6,0.561,4.6,1.0,3.73947,117.222,34.4571,4.30145,3.97642,11.4857,2,1.56600418,0.7868,86.2266,5.19519,258.252,8.27787,39.84363894811656,44.92934172204946,5.085702773932894
30530,C,2011,mason plumlee,103.7,59.3,56.82,11.2,23.8,0.599,5.8,2.0,1.65048,104.806,25.6486,2.23207,4.80505,7.1622,3,0.81692636,0.748,85.1714,4.08853,243.473,7.03711,40.9950248756219,47.50802960035463,6.513004724732731
30531,C,2010,mason plumlee,98.6,47.2,48.89,9.1,15.2,0.48,6.1,2.3,0.774768,101.505,14.1471,-0.605796,4.98865,3.6765,4,0.93752652,0.6667,88.0142,2.16444,104.635,4.38286,40.9950248756219,44.9141871536567,3.919162278034797
30532,C,2012,mason plumlee,107.0,57.2,56.8,12.0,24.5,0.572,5.2,1.6,2.93792,115.782,28.3529,3.74099,2.73119,11.1471,2,0.74321153,0.6923,93.6311,3.691,221.67,6.47218,40.9950248756219,38.50758372534844,-2.4874411502734617
30533,C,2013,mason plumlee,113.1,59.9,62.8,9.8,23.3,0.599,4.0,1.7,4.94503,126.353,34.6667,5.39624,3.0227,17.0833,1,0.67959875,0.7412,90.9172,4.9222,282.551,8.41895,40.9950248756219,32.18320698953249,-8.811817886089408
31441,C,2012,meyers leonard,112.5,58.6,61.77,9.1,23.5,0.604,6.9,0.9,3.62588,118.932,31.8125,3.03494,3.23251,13.5625,3,0.63237645,0.7569,94.6348,4.16046,210.3,6.26746,33.21961620469084,50.121353005431985,16.901736800741148
31442,C,2011,meyers leonard,79.1,48.3,51.46,4.6,12.8,0.491,5.2,1.1,-0.165376,80.4576,8.2424,-6.91448,2.55613,2.0606,4,0.19228329,0.6923,98.6762,1.0202,48.9904,-4.35835,33.21961620469084,26.681225085185545,-6.538391119505292
32170,C,2013,mike muscala,116.8,51.0,57.21,12.0,29.0,0.515,7.7,1.0,5.30295,132.867,32.0909,8.51832,3.9947,18.8788,1,1.35083659,0.6597,83.836,4.69031,257.626,12.513,46.2544420753376,48.41152167541921,2.157079600081609
32173,C,2010,mike muscala,107.0,47.4,51.89,7.6,16.2,0.476,9.6,0.7,1.62216,104.861,24.8333,0.717015,0.865896,9.8667,4,0.7931106,0.6279,99.414,2.0441,146.557,1.58291,46.2544420753376,43.419920477193784,-2.834521598143816
32400,C,2012,miles plumlee,117.3,61.0,62.05,16.6,22.7,0.61,4.2,1.5,2.35136,118.999,20.5,3.67006,1.67681,6.6471,1,0.42855988,0.7143,94.9681,2.5794,152.76,5.34687,31.926083866382378,30.207106403079734,-1.7189774633026431
32401,C,2011,miles plumlee,107.2,51.8,53.45,14.3,17.2,0.518,2.4,2.0,1.22401,107.044,16.973,0.3459,2.14304,4.7568,2,0.37149802,0.6429,89.9131,2.44002,136.535,2.48894,31.926083866382378,29.671078213019044,-2.255005653363334
32687,C,2013,montrezl harrell,114.5,57.7,57.09,11.4,14.6,0.577,4.9,1.9,1.68891,115.759,16.2,3.33385,2.49359,5.65,4,0.3478261,0.6935,88.1774,2.3513,123.603,5.82745,69.56645344705046,48.06053705589861,-21.505916391151857
33416,C,2013,nerlens noel,109.0,59.0,58.26,10.4,22.3,0.59,13.2,3.9,2.61518,109.012,31.875,3.95391,7.13561,10.4583,4,0.84442666,0.7677,81.3956,5.17641,227.307,11.0895,46.89410092395168,65.74867332103413,18.85457239708245
34678,C,2016,pascal siakam,115.4,54.0,56.88,13.4,23.5,0.547,6.4,1.7,4.52393,125.384,35.3438,5.33606,2.96322,20.375,3,0.76119968,0.7371,86.8008,4.89153,275.465,8.29928,72.32409381663115,55.991692284556294,-16.332401532074854
34679,C,2015,pascal siakam,117.8,56.3,60.71,13.8,17.5,0.567,5.7,1.7,3.34757,118.579,30.8235,3.65312,1.96256,12.8235,4,0.7030918,0.6933,92.3242,3.51942,193.589,5.61568,72.32409381663115,53.82016765704067,-18.503926159590478
