,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
27490,Wing F,2011,kyle singler,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,0.806,157,316,0.497,62,193,0.321,0.8,1.5,30.5,Sr,4.48224,123.426,3.0,99.0,89.4209,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.3243,16.8919,8.51622,1,0.8571278,0.708,0.3793,94.0388,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,34.71215351812367
27580,Scoring PG,2011,kyrie irving,130.5,27.2,61.5,69.7,2.3,10.6,29.8,18.6,0.901,37,65,0.569,18,39,0.462,1.8,3.0,68.3,Fr,5.95161,148.528,3.0,99.8,87.1588,27.5455,9.48637,4.37825,0.5455,2.8182,3.3636,4.2727,1.4545,0.5455,17.4545,7.29491,4,1.74076183,0.6667,0.4231,91.7011,3.80115,61.4034,12.1928,9.40502,2.78781,13.8646,77.27078891257997
27783,Wing G,2010,lance stephenson,99.3,26.0,46.2,49.35,7.3,14.0,19.1,19.5,0.664,146,295,0.495,16,73,0.219,0.7,1.9,32.3,Fr,2.43413,110.932,2.8,98.4,93.3915,28.2353,2.87922,1.68549,1.8529,3.5,5.3529,2.4706,0.9118,0.1765,12.3235,4.55624,4,1.03702143,0.6556,0.3287,99.2715,3.1973,171.527,3.66146,1.66201,1.99945,4.56471,22.629708599857857
27795,C,2010,lance thomas,99.1,13.5,43.9,50.22,10.4,11.0,6.1,26.9,0.743,68,155,0.439,0,0,0.0,0.8,1.4,47.7,Sr,0.856023,95.4928,4.8,94.8,89.3258,25.25,-0.837577,2.36188,2.35,2.5,4.85,0.9,0.6,0.2,4.775,0.0,1,0.59016393,0.6026,0.2692,94.5901,3.25753,167.533,4.64729,1.30009,3.3472,1.52431,17.526652452025594
27826,Scoring PG,2017,landry shamet,130.3,18.4,60.3,63.38,2.3,8.8,22.2,12.6,0.81,61,117,0.521,71,161,0.441,0.9,1.4,30.2,Fr,3.92745,129.934,3.2,70.6,93.9051,26.6667,6.02053,2.26095,0.5833,2.1944,2.7778,3.25,0.6667,0.1944,11.5,9.82879,4,3.00009233,0.5789,0.4,95.0558,3.26444,158.37,7.9924,6.6438,1.3486,8.28147,40.31272210376689
27827,Scoring PG,2018,landry shamet,127.5,21.0,62.2,65.54,1.6,9.7,28.8,17.9,0.825,70,125,0.56,84,190,0.442,0.7,1.3,32.7,So,5.01824,133.749,2.4,70.6,102.035,31.7188,7.29565,0.3634,0.4375,2.7812,3.2188,5.1875,0.7188,0.1875,14.9062,10.695,3,2.47755269,0.6623,0.3878,104.926,2.99378,169.509,6.47206,7.53766,-1.06559,7.65905,40.31272210376689
27835,Wing G,2014,langston galloway,125.3,20.3,57.0,60.99,2.8,10.5,9.3,6.7,0.826,82,184,0.446,108,244,0.443,1.5,1.8,32.2,Sr,5.34162,130.983,2.6,66.4,100.79,36.2059,6.17963,1.36532,0.8235,3.4412,4.2647,1.5588,1.0588,0.5,17.7059,11.8583,1,1.8928962,0.5882,0.359,103.489,3.61669,204.296,7.15204,6.47683,0.675204,7.54495,44.17910447761194
27836,Combo G,2013,langston galloway,110.9,19.8,52.5,55.19,2.4,8.9,14.1,13.1,0.772,70,159,0.44,80,203,0.394,1.0,2.4,21.8,Jr,3.47228,113.503,2.6,66.4,98.6503,35.6875,2.74729,1.13817,0.6875,2.9062,3.5938,2.25,1.375,0.3438,13.7812,11.1825,2,1.5318628,0.7636,0.2667,102.155,3.34879,180.745,4.20619,3.89552,0.31067,3.88546,44.17910447761194
27837,Combo G,2011,langston galloway,115.0,20.1,49.6,54.81,4.8,14.1,19.0,11.0,0.887,70,172,0.407,65,166,0.392,1.7,3.1,28.7,Fr,3.83301,118.707,2.9,66.4,103.382,34.303,4.54378,0.835637,1.3939,4.1515,5.5455,2.8788,1.697,0.5455,12.7576,9.16564,4,2.37505144,0.4848,0.3585,105.235,2.78156,208.595,5.53847,5.38694,0.151524,5.37942,44.17910447761194
27838,Wing G,2012,langston galloway,125.2,18.8,60.9,63.16,3.6,10.2,13.0,10.8,0.785,92,180,0.511,90,193,0.466,1.6,1.7,24.9,So,4.95025,126.355,3.0,66.4,99.322,35.7353,5.46516,0.796362,1.0,3.5,4.5,2.2353,1.0294,0.5882,15.5,9.57148,3,1.85363641,0.6818,0.4123,103.142,3.29084,197.439,6.56982,6.44762,0.122205,6.26152,44.17910447761194
27923,PF/C,2014,larry nance jr,112.7,24.4,55.8,60.4,5.8,25.0,12.4,12.4,0.764,127,217,0.585,9,35,0.257,7.5,2.6,48.8,Jr,3.80126,119.922,3.2,,89.6729,35.375,4.23831,4.382,1.4167,7.5,8.9167,1.625,1.375,2.2917,15.625,2.71498,2,1.0,0.8,0.4052,90.4331,4.81112,199.102,8.00172,1.76587,6.23585,8.62031,57.24235963041934
27924,PF/C,2012,larry nance jr,103.5,15.6,46.9,53.02,10.4,19.1,4.5,17.6,0.8,41,90,0.456,3,7,0.429,3.9,2.6,41.2,Fr,0.704408,97.2517,3.8,,87.7139,17.6452,-0.89434,2.76622,1.3226,2.5484,3.871,0.3548,0.7097,0.5484,3.9677,0.835954,4,0.47823153,0.7143,0.2292,88.8647,2.35605,109.863,3.19011,-1.4045,4.59461,1.87188,57.24235963041934
27925,Wing F,2013,larry nance jr,111.1,19.0,55.0,59.36,7.5,20.8,9.5,15.5,0.748,112,201,0.557,9,27,0.333,2.6,2.8,46.9,So,3.05,112.713,3.2,,90.6105,32.2581,1.74841,2.41612,1.8387,5.0,6.8387,1.1935,1.3548,0.7097,10.6774,1.76331,3,0.82219625,0.8588,0.3362,93.2364,3.91897,197.123,4.98067,1.0464,3.93427,4.16453,57.24235963041934
27926,Wing F,2015,larry nance jr,106.3,27.9,52.7,57.66,6.2,20.5,19.7,15.9,0.785,162,306,0.529,14,41,0.341,4.3,2.3,41.5,Sr,3.6941,117.739,2.6,,91.8035,34.9032,3.6465,2.75512,1.4194,5.8065,7.2258,2.4516,1.1935,1.1935,16.0645,2.66722,1,1.08569153,0.7881,0.367,91.6832,4.33077,203.468,5.38939,1.53945,3.84994,6.40162,57.24235963041934
27933,C,2010,larry sanders,112.8,26.1,54.0,56.35,13.1,25.2,7.7,13.8,0.641,192,351,0.547,4,16,0.25,9.1,1.6,45.5,Jr,3.51395,123.657,4.4,29.4,88.9952,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,0.997726,2,0.58620484,0.6884,0.3618,89.8001,3.47458,228.258,6.40892,2.22981,4.17911,6.33735,35.73560767590619
28005,Stretch 4,2017,lauri markkanen,130.1,21.5,58.4,63.45,10.0,17.5,5.6,9.8,0.835,116,213,0.545,69,163,0.423,1.8,0.8,43.6,Fr,5.35761,137.903,2.6,93.0,94.657,30.8108,7.74147,0.84563,2.3784,4.8108,7.1892,0.8649,0.4054,0.5135,15.5676,8.55561,4,0.8000185,0.65,0.4513,99.0583,3.66462,203.764,7.77584,6.9491,0.826736,8.5871,39.18976545842218
28037,C,2010,lavoy allen,114.8,19.7,54.4,55.71,12.3,23.6,14.9,14.4,0.625,166,296,0.561,5,23,0.217,4.6,1.0,27.6,Jr,3.73947,117.222,2.6,78.8,82.7441,34.4571,4.30145,3.97642,3.5429,7.1714,10.7143,2.3714,0.5429,1.4286,11.4857,1.23155,2,1.56600418,0.7868,0.3688,86.2266,5.19519,258.252,9.94786,3.40173,6.54613,8.27787,39.84363894811656
28038,PF/C,2011,lavoy allen,107.7,20.1,48.8,51.9,9.3,20.2,13.6,14.7,0.697,149,304,0.49,5,17,0.294,5.4,1.3,30.8,Sr,2.78221,110.154,2.7,78.8,89.5171,33.9394,2.33665,2.66789,2.6667,5.9091,8.5758,2.2727,0.697,1.8485,11.5758,0.92556,1,1.38884142,0.7623,0.3077,92.0014,4.35626,227.605,5.87426,1.2803,4.59396,5.00454,39.84363894811656
28506,Combo G,2018,lonnie walker iv,107.9,21.1,50.3,52.74,1.7,9.2,13.0,11.6,0.738,76,156,0.487,56,162,0.346,1.8,2.0,20.4,Fr,2.47646,113.718,2.3,97.0,97.8887,27.75,2.92349,1.57556,0.4062,2.1875,2.5938,1.9062,0.9375,0.4688,11.5,10.7291,4,1.64867667,0.59,0.3036,101.866,3.01536,148.382,4.42331,3.28302,1.1403,4.49906,30.447761194029855
28508,Scoring PG,2017,lonzo ball,129.4,20.1,66.8,67.26,3.2,14.3,31.4,18.9,0.673,109,149,0.732,80,194,0.412,2.1,2.8,28.6,Fr,5.50817,133.073,2.1,99.6,95.9566,35.0556,7.65462,3.37211,0.9167,5.0833,6.0,7.6111,1.8333,0.7778,14.5556,8.28628,4,3.07867505,0.7833,0.5172,99.8459,4.0114,275.837,11.0424,8.18346,2.85898,11.0267,70.98791755508174
28677,Combo G,2019,luguentz dort,98.9,27.1,46.7,51.77,4.5,10.0,15.0,18.7,0.7,120,254,0.472,54,176,0.307,0.8,2.7,48.1,Fr,2.4587,110.24,3.8,94.2,97.309,31.5588,1.21371,1.11304,1.2941,2.9706,4.2647,2.3235,1.5294,0.2059,16.0882,8.97904,4,0.79796002,0.512,0.2889,100.209,3.46962,212.483,2.59497,1.73009,0.864884,2.32675,42.97085998578536
28765,Wing F,2010,luke babbitt,120.4,26.0,54.0,61.23,6.5,19.1,10.9,13.9,0.92,203,393,0.517,42,100,0.42,1.9,1.5,43.0,So,5.74256,130.134,2.7,96.6,99.6456,37.5455,6.51045,0.568331,2.0606,6.8182,8.8788,2.1212,1.0,0.7879,22.0303,4.58286,3,0.88608553,0.6261,0.4712,103.76,3.47298,246.614,4.8202,4.59114,0.229052,7.07878,32.778962331201136
28812,Wing G,2017,luke kennard,127.3,23.0,57.9,62.91,3.9,12.1,13.6,11.2,0.856,149,284,0.525,88,201,0.438,0.9,1.4,38.6,So,6.41199,139.823,2.5,96.0,96.1443,35.5135,8.06344,1.33362,1.1622,3.9189,5.0811,2.4595,0.8378,0.3514,19.5135,8.7589,3,1.54239316,0.6322,0.4747,103.155,4.04067,215.166,8.02895,7.36515,0.6638,9.39706,38.606965174129364
28813,Wing G,2016,luke kennard,120.7,20.1,50.3,55.62,4.1,10.6,10.6,8.5,0.889,86,163,0.528,55,172,0.32,0.6,2.1,29.6,Fr,3.55767,126.594,2.9,96.0,99.0448,26.6944,3.91087,0.767283,0.9722,2.6111,3.5833,1.5,0.9444,0.1667,11.8056,10.4129,4,1.92851627,0.6761,0.413,106.756,2.7517,158.175,5.20396,5.06178,0.142178,4.67815,38.606965174129364
28818,PF/C,2016,luke kornet,104.7,18.5,46.3,49.85,7.5,19.7,10.1,12.5,0.69,61,123,0.496,26,93,0.28,10.3,1.1,32.9,Jr,1.86483,107.714,3.5,27.4,85.7358,27.3929,2.4375,5.166,1.7857,5.5,7.2857,1.4643,0.5,3.0,8.8929,6.94002,2,1.32264477,0.6528,0.2745,90.2917,4.07201,185.613,9.72352,1.94369,7.77983,7.6035,
28819,PF/C,2017,luke kornet,109.9,21.9,48.0,54.66,5.9,16.6,8.5,11.2,0.857,92,195,0.472,53,162,0.327,6.7,1.0,39.2,Sr,3.46886,119.684,2.9,27.4,92.6719,31.4571,3.88141,3.19283,1.5143,4.6857,6.2,1.2,0.5429,2.0286,13.2286,8.7832,1,0.93334377,0.6627,0.3304,98.2551,3.94409,223.462,7.75319,2.85186,4.90132,7.07424,
