,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
34141,Wing G,2012,norman powell,96.8,15.7,45.6,46.58,1.9,13.7,12.2,15.9,0.643,32,79,0.405,24,70,0.343,1.8,1.6,9.4,Fr,0.50024,93.8512,3.1,89.6,97.1725,17.6875,-0.34388,0.895745,0.2812,2.0,2.2812,1.1562,0.4688,0.2812,4.5312,7.5926,4,1.60851424,0.5135,0.3095,99.0608,1.7907,92.0277,0.806276,-0.142067,0.948342,0.551865,40.32693674484719
34142,Scoring PG,2011,norris cole,112.9,32.8,47.0,54.83,2.5,16.7,38.0,14.3,0.853,189,407,0.464,46,142,0.324,0.3,3.7,47.2,Sr,5.82297,132.761,2.8,,91.3968,36.0882,6.90038,3.26417,0.7647,5.1176,5.8824,5.4412,2.1765,0.0882,21.6765,6.99096,1,1.94738903,0.6298,0.3319,93.3699,4.44932,258.227,9.55658,6.99107,2.56551,10.1645,25.444207533759773
34143,Scoring PG,2010,norris cole,103.6,28.2,46.4,52.24,1.6,8.9,30.0,16.6,0.796,137,306,0.448,37,109,0.339,0.3,2.9,39.0,Jr,3.68109,115.977,2.8,,102.897,35.0645,3.35441,-0.682712,0.4516,2.3871,2.8387,4.4194,1.6452,0.0968,16.5806,6.13369,2,1.65063122,0.6449,0.3417,105.997,2.87249,172.528,1.44642,2.86158,-1.41516,2.6717,25.444207533759773
34213,Wing F,2020,obi toppin,122.5,26.2,67.4,68.4,5.2,22.0,14.5,15.4,0.702,213,305,0.698,32,82,0.39,4.1,1.8,36.4,So,5.36843,134.821,2.1,,87.4529,31.6452,8.60654,3.34245,1.1935,6.3548,7.5484,2.1613,0.9677,1.2258,20.0323,4.86513,3,0.98532022,0.8267,0.4466,89.5851,4.32772,221.628,10.1576,5.97507,4.18257,11.949,
34214,Wing F,2019,obi toppin,120.9,23.9,68.4,69.18,7.7,17.1,15.6,18.1,0.713,190,281,0.676,11,21,0.524,3.7,1.5,28.8,Fr,3.85841,129.822,3.2,,95.7812,26.5455,5.78927,2.43461,1.5152,4.1212,5.6364,1.8485,0.6364,0.8485,14.3939,1.44127,4,0.96825727,0.8,0.4375,97.0498,3.06724,174.614,6.89535,4.12113,2.77422,8.22388,
34249,Wing F,2016,og anunoby,114.2,17.6,62.5,60.68,11.4,11.7,6.6,19.7,0.476,53,87,0.609,13,29,0.448,5.6,3.4,36.2,Fr,1.21616,113.586,4.5,41.4,92.4393,13.7059,3.36225,3.60479,1.2353,1.4118,2.6471,0.5294,0.7941,0.7647,4.8529,3.59206,4,0.64286582,0.6622,0.3333,96.7728,1.73042,101.575,7.95513,3.58777,4.36735,6.96704,64.10803127221038
34250,Wing F,2017,og anunoby,115.6,20.5,61.5,61.12,8.5,16.1,11.0,18.0,0.563,54,77,0.701,14,45,0.311,5.5,3.0,39.3,So,2.65134,118.678,3.3,41.4,95.1539,25.125,4.83015,3.0147,1.75,3.6875,5.4375,1.4375,1.3125,1.3125,11.0625,6.38437,3,0.88461538,0.7778,0.3571,98.5464,2.89972,88.5137,8.72022,4.65725,4.06298,7.84486,64.10803127221038
34404,PF/C,2018,omari spellman,121.0,17.9,57.3,58.77,9.9,23.0,4.3,11.4,0.7,95,186,0.511,65,150,0.433,5.5,1.3,20.8,Fr,3.49059,123.9,3.3,96.2,89.6669,28.125,4.40706,2.22098,2.25,5.775,8.025,0.75,0.65,1.475,10.85,7.63137,4,0.75,0.5728,0.4444,95.809,3.84632,248.547,7.95853,4.14989,3.80864,6.62804,
34424,C,2020,onyeka okongwu,119.1,23.4,61.9,64.6,12.4,18.4,8.4,15.9,0.72,175,281,0.623,1,4,0.25,9.8,2.3,50.2,Fr,4.59447,129.129,3.5,95.2,84.5605,30.6429,6.17366,4.70968,3.2857,5.3571,8.6429,1.0714,1.2143,2.7143,16.2857,0.265806,4,0.53570002,0.7258,0.4149,87.5848,4.48876,212.781,11.4266,4.11973,7.30689,10.8833,
34508,Stretch 4,2019,oshae brissett,97.3,23.3,43.3,47.5,7.5,18.0,11.8,15.6,0.66,117,263,0.445,30,111,0.27,3.4,1.8,40.1,So,2.25111,107.189,2.5,72.8,92.7807,33.0,1.35824,1.23733,2.2059,5.2941,7.5,1.7941,0.9706,0.7941,12.4412,5.84981,3,0.88405438,0.5466,0.2843,97.3203,4.18457,221.036,3.02299,0.773645,2.24934,2.59556,
34509,Wing F,2018,oshae brissett,103.0,22.6,41.4,49.11,6.9,19.4,5.5,13.5,0.787,107,292,0.366,55,166,0.331,2.7,1.9,48.3,Fr,2.9894,110.694,2.4,72.8,89.8229,38.1351,1.5814,1.76571,2.2162,6.6216,8.8378,0.9189,1.1622,0.7838,14.9459,7.33083,4,0.4927342,0.4149,0.2762,96.3071,5.17361,275.135,2.25721,0.219312,2.0379,3.34711,
34678,C,2016,pascal siakam,115.4,28.0,54.0,56.88,13.4,23.5,11.2,12.6,0.686,255,466,0.547,3,15,0.2,6.4,1.7,40.3,So,4.52393,125.384,3.1,,88.45,35.3438,5.33606,2.96322,4.0,7.8438,11.8438,1.5938,1.0,2.2188,20.375,0.791505,3,0.76119968,0.7371,0.433,86.8008,4.89153,275.465,7.23334,2.53836,4.69498,8.29928,72.32409381663115
34679,C,2015,pascal siakam,117.8,21.7,56.3,60.71,13.8,17.5,9.9,18.1,0.77,156,275,0.567,0,2,0.0,5.7,1.7,45.5,Fr,3.34757,118.579,3.4,,94.5949,30.8235,3.65312,1.96256,3.2647,4.4412,7.7059,1.3235,0.8235,1.7941,12.8235,0.126449,4,0.7030918,0.6933,0.3839,92.3242,3.51942,193.589,6.46802,2.81082,3.6572,5.61568,72.32409381663115
34692,Stretch 4,2015,pat connaughton,120.4,16.7,59.7,61.46,4.2,20.4,7.6,12.2,0.781,73,136,0.537,93,220,0.423,2.7,1.3,18.0,Sr,3.9944,120.284,2.2,80.8,95.5844,35.5526,5.83473,1.05884,1.0789,6.3421,7.4211,1.5,0.7105,0.9474,12.5,10.1701,1,1.29544868,0.5604,0.4889,99.958,3.86183,246.333,7.63175,5.68762,1.94413,6.89357,50.85998578535893
34693,Wing G,2013,pat connaughton,118.6,14.0,56.3,57.88,2.8,14.3,12.8,12.7,0.708,51,91,0.56,58,154,0.377,1.1,0.9,19.6,So,3.12815,114.144,1.9,80.8,97.364,32.0857,3.7499,1.5188,0.7143,3.9714,4.6857,2.1429,0.4571,0.3429,8.8571,8.81984,3,2.41944227,0.7143,0.2222,101.518,3.08928,172.682,6.14174,4.25527,1.88646,5.2687,50.85998578535893
34694,Wing G,2014,pat connaughton,123.8,17.8,56.3,58.9,3.9,19.6,15.6,10.3,0.833,79,142,0.556,76,201,0.378,1.7,1.7,19.2,Jr,4.60474,124.691,1.9,80.8,101.654,37.1875,6.18144,1.27107,1.1875,5.9062,7.0938,2.9688,1.0312,0.5625,13.7812,10.542,2,2.71420754,0.6389,0.4789,106.57,3.54768,208.939,7.04849,5.40792,1.64056,7.4525,50.85998578535893
34695,Wing G,2012,pat connaughton,110.0,15.6,52.5,54.67,4.9,16.7,7.9,12.2,0.757,44,81,0.543,41,120,0.342,0.6,1.3,18.4,Fr,1.76785,107.136,2.2,80.8,94.7319,24.1176,2.39116,1.08071,0.9706,3.4412,4.4118,0.8824,0.5,0.1471,7.0294,9.48861,4,1.25003536,0.6852,0.2593,98.7538,2.6076,137.119,2.91048,1.97325,0.937229,3.47187,50.85998578535893
34788,Combo G,2016,patrick mccaw,112.6,20.3,54.6,57.93,3.4,12.7,23.0,16.3,0.769,92,163,0.564,62,176,0.352,1.2,3.8,30.7,So,3.12744,114.942,2.6,60.6,94.5414,34.1613,3.93913,3.46679,1.0968,4.0968,5.1935,3.871,2.4194,0.4194,14.5161,8.98017,3,1.84614646,0.6635,0.3898,96.4163,3.98331,233.53,7.26551,4.22015,3.04537,7.40592,18.05259417199716
34789,Combo G,2015,patrick mccaw,103.4,19.3,51.8,53.79,2.9,8.6,17.5,17.3,0.712,47,105,0.448,57,151,0.377,1.1,2.9,20.3,Fr,1.89573,106.046,2.1,60.6,98.9902,29.5938,2.25394,1.04529,0.7188,2.5312,3.25,2.6875,1.5,0.3125,9.5938,10.132,4,1.50881424,0.5614,0.3125,100.476,2.88467,152.758,3.5434,3.07866,0.464734,3.29923,18.05259417199716
34811,PF/C,2010,patrick patterson,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,Jr,4.93367,129.198,1.9,98.2,89.5707,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,3.09222,2,0.87811659,0.8242,0.3937,94.0703,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,43.041933191186935
34850,Wing F,2020,patrick williams,104.2,21.9,49.5,55.11,6.8,13.9,8.4,20.2,0.838,79,158,0.5,16,50,0.32,5.6,2.6,35.6,Fr,1.94744,110.557,2.9,95.0,89.3239,22.4483,1.76446,2.72161,1.2759,2.6897,3.9655,1.0,1.0,1.0345,9.2414,4.43597,4,0.58001276,0.6235,0.3611,92.9091,2.93606,135.245,4.7113,0.906578,3.80472,4.48607,
34886,Wing F,2010,paul george,105.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,0.902,92,188,0.489,58,163,0.356,3.0,3.9,34.8,So,3.43996,115.602,3.5,61.6,92.7156,33.1786,4.41774,2.32799,1.9286,5.2857,7.2143,3.0714,2.1429,0.8571,16.7143,10.3973,3,0.96627442,0.6604,0.2683,94.6435,3.89014,210.186,6.68486,3.41633,3.26852,6.74572,94.88272921108744
34997,Scoring PG,2019,payton pritchard,112.7,21.4,49.9,54.34,3.0,9.8,25.8,15.9,0.838,102,202,0.505,65,198,0.328,0.3,3.1,27.8,Jr,3.69404,117.599,2.5,89.4,92.8308,35.5526,2.85218,2.82255,0.8684,3.0,3.8684,4.6053,1.7895,0.0789,12.9474,8.9836,2,2.33333325,0.542,0.4286,96.3595,4.48912,237.007,6.23616,4.21192,2.02424,5.67473,
34998,Scoring PG,2017,payton pritchard,111.7,15.8,50.2,53.19,2.6,10.7,20.5,18.7,0.73,46,99,0.465,49,139,0.353,0.3,2.4,26.5,Fr,2.12259,109.285,3.2,89.4,93.7016,28.3333,0.972638,2.58609,0.5897,2.7692,3.359,3.5897,1.1538,0.0769,7.4359,7.47465,4,2.49996521,0.5574,0.3056,98.363,3.47925,191.204,4.86129,3.35271,1.50857,3.55873,
34999,Scoring PG,2020,payton pritchard,120.6,28.4,56.3,60.08,2.3,11.6,31.6,16.0,0.821,128,250,0.512,88,212,0.415,0.1,2.5,30.3,Sr,6.88025,141.172,2.2,89.4,96.8939,36.5161,8.7003,1.34032,0.6774,3.6452,4.3226,5.5484,1.5161,0.0323,20.4839,11.3462,1,2.0235603,0.6013,0.3711,100.303,3.75208,193.577,8.38468,8.4833,-0.0986219,10.0406,
35000,Scoring PG,2018,payton pritchard,116.8,21.0,55.4,58.32,1.7,11.4,25.3,16.5,0.774,93,192,0.484,85,206,0.413,0.0,2.3,26.6,So,3.84298,119.754,2.8,89.4,101.5,35.1389,3.13217,0.847469,0.5,3.3333,3.8333,4.75,1.4167,0.0,14.5278,9.41711,3,2.25001189,0.5185,0.3966,104.943,3.36107,216.165,3.60516,3.7101,-0.104941,3.97963,
35053,PF/C,2012,perry jones iii,110.6,22.6,51.0,53.61,10.8,18.6,8.8,14.4,0.696,169,328,0.515,10,33,0.303,2.1,1.7,28.3,So,3.68928,120.236,3.1,98.8,90.4005,30.9062,3.49204,0.758121,2.6875,5.0312,7.7188,1.2812,0.875,0.5938,13.7188,1.98934,3,0.75922966,0.697,0.3929,96.8961,3.84024,188.837,4.93194,3.43733,1.4946,4.25016,21.947405828002847
35054,C,2011,perry jones iii,108.7,21.3,54.7,57.68,9.6,15.9,7.5,19.0,0.685,155,279,0.556,2,10,0.2,3.0,0.9,43.9,Fr,3.25933,114.12,2.9,98.8,95.7841,33.8621,2.41683,0.507393,2.5862,4.5862,7.1724,1.1379,0.5172,0.8966,13.8966,0.602041,4,0.49253341,0.8505,0.3721,97.7252,3.64363,172.136,2.50737,1.54514,0.962232,2.92422,21.947405828002847
35309,Wing G,2017,pj dozier,96.2,28.0,44.5,46.62,4.1,15.5,23.0,15.9,0.597,146,323,0.452,39,137,0.285,1.2,3.3,28.0,So,2.26481,110.859,3.8,95.2,85.1904,28.6944,2.13985,3.92316,1.0833,3.7222,4.8056,2.8056,1.6667,0.2778,13.9167,7.79434,3,1.29487242,0.6696,0.3317,90.1059,4.29481,219.909,5.94589,1.90838,4.03751,6.06301,
35310,Wing G,2016,pj dozier,78.9,26.7,40.3,42.35,4.7,12.6,22.0,29.5,0.544,78,188,0.415,10,43,0.233,2.3,2.6,29.4,Fr,-0.043858,87.2479,5.2,95.2,93.2253,18.9394,-4.61277,1.13464,0.8182,2.2121,3.0303,2.0909,0.8788,0.3636,6.7576,3.84592,4,0.78407771,0.5286,0.3504,96.3071,2.33065,130.381,-1.91243,-4.46009,2.54766,-3.47813,
35317,Wing G,2013,pj hairston,119.8,25.2,55.1,58.47,8.5,11.3,10.6,10.7,0.775,69,142,0.486,87,220,0.395,1.8,2.8,30.7,So,4.05969,134.116,3.1,97.6,92.4929,23.9394,9.97979,1.73473,1.9697,2.4545,4.4242,1.2727,1.2121,0.4242,14.697,15.5739,3,1.10525399,0.5932,0.4096,96.5317,2.77543,157.897,10.2878,8.81885,1.46891,11.7145,
35318,Stretch 4,2012,pj hairston,103.9,22.0,40.4,46.6,6.0,10.9,9.4,13.9,0.839,23,59,0.39,38,139,0.273,1.2,1.6,31.3,Fr,1.1154,110.51,4.5,97.6,90.7006,13.0,1.01972,1.224,0.7568,1.4324,2.1892,0.7568,0.3784,0.1622,5.7297,15.7979,4,1.0371385,0.7059,0.2619,95.375,1.60267,89.2128,4.56818,3.68873,0.879445,2.24371,
35362,PF/C,2019,pj washington,116.1,25.4,56.7,59.19,10.2,19.9,13.1,15.8,0.663,157,286,0.549,33,78,0.423,4.8,1.7,48.9,So,4.36954,130.806,3.4,97.2,86.8161,29.2571,6.29404,3.70956,2.3429,5.2286,7.5714,1.8,0.8571,1.2286,15.1714,4.53879,3,0.91305668,0.6569,0.4497,92.7403,4.29843,220.01,10.1556,5.26992,4.88566,10.0036,40.89552238805971
35363,Wing F,2018,pj washington,105.5,21.3,52.7,55.76,7.9,14.8,10.4,18.8,0.606,129,238,0.542,5,21,0.238,3.5,1.6,80.3,Fr,2.43499,113.541,4.0,97.2,93.9672,27.3514,2.00191,2.5152,1.8108,3.8919,5.7027,1.5405,0.7568,0.8378,10.7838,1.1812,4,0.80280371,0.66,0.3448,100.072,3.35611,196.468,5.42862,2.25743,3.1712,4.51712,40.89552238805971
35374,PF/C,2020,precious achiuwa,98.2,27.2,51.1,53.4,11.4,24.7,7.5,18.6,0.599,169,329,0.514,13,40,0.325,6.4,2.0,50.7,Fr,2.59546,110.181,3.1,97.2,79.6562,30.3548,2.18189,2.94998,3.0,7.7742,10.7742,0.9677,1.0968,1.871,15.7742,2.31943,4,0.34480671,0.6407,0.2143,81.6111,4.98252,256.167,3.93532,-0.850593,4.78591,5.13187,
35565,PF/C,2012,quincy acy,116.7,19.2,57.1,62.87,10.7,18.6,6.5,19.9,0.776,145,257,0.564,3,5,0.6,6.5,1.8,64.9,Sr,3.57352,120.207,4.2,60.8,89.5366,29.9459,3.12705,2.83409,2.5946,4.8649,7.4595,1.0,0.9189,1.8108,11.6486,0.269092,1,0.52113189,0.7315,0.3333,94.3303,3.81235,233.362,8.23581,3.55773,4.67808,5.96114,35.366027007818055
35566,PF/C,2011,quincy acy,109.3,21.2,53.4,57.67,11.3,18.2,6.0,18.5,0.686,134,249,0.538,0,2,0.0,5.5,1.8,62.2,Jr,3.03994,114.488,3.3,60.8,91.7151,31.1667,2.41335,1.7928,2.8,4.8333,7.6333,0.8667,0.9333,1.5,12.5,0.12646,2,0.4193642,0.7414,0.3609,93.5673,3.79231,193.507,4.43228,1.5242,2.90808,4.20615,35.366027007818055
35567,PF/C,2010,quincy acy,124.4,16.5,69.1,70.35,9.5,14.4,2.4,19.3,0.721,130,188,0.691,0,0,0.0,3.4,1.2,45.7,So,3.09071,123.919,4.0,60.8,93.2629,23.4857,4.16268,1.28903,1.7714,3.3143,5.0857,0.2857,0.4571,0.7714,9.2,0.0,3,0.22726911,0.7967,0.4923,99.0395,2.68985,146.535,5.29881,4.35961,0.939201,5.45171,35.366027007818055
35610,Scoring PG,2013,quinn cook,109.1,21.1,49.2,52.93,1.9,11.0,29.0,18.1,0.877,96,223,0.43,55,140,0.393,0.4,2.5,20.1,So,3.59508,116.12,3.2,93.6,90.278,33.5556,3.41933,2.25417,0.5278,3.3056,3.8333,5.2778,1.4167,0.1389,11.6944,6.77299,3,2.40512209,0.61,0.2846,96.5792,4.14818,218.893,6.78644,4.73838,2.04806,5.6735,11.385927505330493
35611,Combo G,2015,quinn cook,127.3,18.5,56.9,60.87,1.4,9.2,13.2,11.0,0.891,97,181,0.536,102,258,0.395,0.1,1.7,25.1,Sr,5.44046,131.456,2.2,93.6,93.7598,35.7949,6.04948,1.94612,0.3846,2.9744,3.359,2.641,1.0,0.0256,15.3333,11.1248,1,2.19151929,0.64,0.4074,100.822,4.1521,209.733,8.69718,7.35434,1.34284,7.9956,11.385927505330493
35612,Scoring PG,2014,quinn cook,120.2,20.7,53.5,57.11,1.5,7.5,27.7,16.1,0.827,72,142,0.507,65,175,0.371,0.1,2.8,25.6,Jr,4.09676,128.107,2.5,93.6,99.414,29.7714,5.42529,1.37231,0.3714,1.8,2.1714,4.3714,1.3429,0.0286,11.6,10.1886,2,2.68414582,0.6463,0.3167,104.853,3.11592,157.19,7.05535,6.67272,0.382629,6.7976,11.385927505330493
35613,Scoring PG,2012,quinn cook,117.9,20.9,46.6,52.41,1.8,8.0,31.5,13.0,0.776,33,60,0.55,14,56,0.25,0.5,2.1,42.2,Fr,1.60556,125.454,2.7,93.6,96.6754,11.7273,4.00236,0.826062,0.1818,0.8485,1.0303,1.9091,0.4242,0.0606,4.4242,8.43636,4,3.49972525,0.72,0.4286,102.237,1.19843,62.1373,3.89808,4.93281,-1.03473,4.82843,11.385927505330493
36131,Combo G,2013,ray mccallum,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,0.715,158,290,0.545,39,123,0.317,1.7,3.0,46.7,Jr,5.20097,125.439,2.2,95.0,101.013,37.2903,6.07031,0.999121,1.3226,3.8387,5.1613,4.4516,1.9677,0.5806,18.4194,6.09953,2,2.19042468,0.663,0.3365,101.748,3.22081,222.896,6.27909,5.70333,0.575761,7.06943,28.443496801705763
36132,Scoring PG,2011,ray mccallum,109.1,23.1,48.0,53.75,4.9,10.6,29.4,19.0,0.687,109,227,0.48,25,78,0.321,0.5,2.7,64.9,Fr,3.25766,114.857,2.6,95.0,102.413,33.3438,3.5975,0.140181,1.3438,3.3438,4.6875,4.9375,1.5938,0.1562,13.4062,4.12776,4,1.90357771,0.5617,0.2769,103.062,2.79266,193.742,3.83692,4.24921,-0.412292,3.73768,28.443496801705763
36133,Combo G,2012,ray mccallum,110.0,24.4,49.1,54.58,3.7,12.8,25.6,16.6,0.763,149,276,0.54,30,119,0.252,0.7,2.6,44.8,So,3.75213,117.538,2.5,95.0,102.307,34.0882,4.51943,0.375011,1.0588,3.5,4.5588,3.9118,1.5,0.2059,15.3824,6.1155,3,1.68358082,0.6768,0.3393,101.972,2.8334,203.175,3.79616,4.2804,-0.484236,4.89444,28.443496801705763
36285,Wing G,2013,reggie bullock,126.5,18.2,59.8,61.7,6.6,15.8,16.2,12.3,0.767,80,149,0.537,85,198,0.429,0.9,2.2,21.0,Jr,4.78008,128.974,1.9,97.2,92.1141,31.6176,8.0144,2.48029,2.0294,4.5294,6.5588,2.7941,1.2353,0.2941,13.8529,10.2971,2,2.20929859,0.68,0.4694,96.5996,3.69359,214.266,10.8455,7.95074,2.89476,10.4947,43.38308457711444
36286,Wing F,2012,reggie bullock,118.0,14.9,55.0,55.75,6.8,13.3,8.8,14.4,0.727,53,104,0.51,71,186,0.382,0.8,1.4,7.6,So,2.46681,113.787,1.9,97.2,90.6043,25.3947,4.24856,2.30126,1.6579,3.4211,5.0789,1.3684,0.6579,0.2105,8.8158,10.5197,3,1.36839998,0.5833,0.4706,95.1993,3.13945,180.368,8.31523,5.49046,2.82477,6.54981,43.38308457711444
36287,Wing G,2011,reggie bullock,103.4,20.2,45.3,46.13,5.9,13.6,7.5,9.0,0.565,33,71,0.465,29,98,0.296,0.7,2.5,13.6,Fr,1.09602,108.017,2.6,97.2,88.1859,14.5185,2.75804,2.64626,0.8148,2.0,2.8148,0.5926,0.6667,0.1111,6.1481,13.6379,4,1.23073725,0.4545,0.4667,93.9454,1.95175,82.9402,5.59167,3.68159,1.91008,5.40431,43.38308457711444
36314,Scoring PG,2010,reggie jackson,106.7,26.2,47.8,51.57,7.5,14.7,30.5,20.0,0.733,113,227,0.498,32,110,0.291,1.5,1.2,31.2,So,3.66328,120.762,2.7,82.4,97.8,30.129,5.21254,0.666129,1.9032,3.7742,5.6774,4.4839,0.6129,0.4516,12.871,7.18687,3,1.73754167,0.6,0.3832,101.051,3.00102,157.694,6.3706,5.19255,1.17805,5.87867,53.26226012793177
36315,Scoring PG,2011,reggie jackson,120.5,27.2,58.5,61.79,3.9,11.3,29.7,16.0,0.796,148,266,0.556,71,169,0.42,1.7,1.9,31.5,Jr,6.04835,137.307,2.0,82.4,103.775,34.1471,8.68046,0.679261,1.0294,3.2647,4.2941,4.4706,1.0588,0.5294,18.1765,9.07322,2,1.87651111,0.66,0.4224,108.416,2.74324,187.742,7.80425,7.60689,0.197362,9.35972,53.26226012793177
36591,C,2013,richaun holmes,118.9,17.7,62.4,62.84,14.8,17.1,2.9,15.1,0.62,83,131,0.634,0,2,0.0,13.2,1.6,37.6,So,1.84132,114.146,4.6,,93.5789,18.6667,2.43326,3.03494,2.3667,2.6667,5.0333,0.2333,0.4667,2.2667,6.5667,0.222236,3,0.291625,0.7111,0.45,93.1114,2.05947,120.766,6.4163,0.696857,5.71944,5.46821,43.48258706467662
36592,PF/C,2015,richaun holmes,115.8,25.1,59.3,62.31,11.5,21.0,7.2,16.5,0.711,139,237,0.586,18,43,0.419,11.3,1.5,50.7,Sr,3.46191,122.24,3.4,,91.5379,28.7742,5.65496,3.02693,2.871,5.1613,8.0323,0.8387,0.7097,2.6452,14.8065,3.12328,1,0.43332471,0.6903,0.3902,91.2274,3.56104,192.802,7.98568,2.67221,5.31347,8.6819,43.48258706467662
36593,PF/C,2014,richaun holmes,107.9,21.6,52.1,56.8,9.7,17.4,6.5,15.7,0.711,132,248,0.532,12,40,0.3,9.2,2.0,55.2,Jr,2.53641,111.175,3.6,,92.83,32.2258,1.9881,3.22783,2.7097,4.9355,7.6452,0.871,1.0645,2.7097,13.3226,2.37831,2,0.47370423,0.726,0.2524,92.3067,4.08811,216.843,4.68107,-0.426464,5.10753,5.21592,43.48258706467662
36759,Wing G,2019,rj barrett,108.0,31.3,50.6,53.19,4.8,17.2,23.5,15.9,0.665,246,465,0.529,73,237,0.308,1.2,1.4,31.9,Fr,5.37716,131.547,2.1,100.0,89.0179,35.2632,5.86672,1.30984,1.5526,6.0263,7.5789,4.3158,0.8947,0.4211,22.6316,9.60522,4,1.33335401,0.6412,0.3824,95.1227,4.9322,254.326,5.93047,4.58557,1.3449,7.17656,37.100213219616215
36925,Stretch 4,2010,robbie hummel,123.3,23.4,52.9,59.75,6.3,20.5,15.2,8.7,0.902,92,178,0.517,43,118,0.364,3.6,2.1,41.2,Jr,4.99469,133.291,2.8,88.4,83.6613,30.2593,8.71893,4.04056,1.6296,5.2963,6.9259,2.0741,1.0741,1.037,15.6667,8.62759,2,2.00009656,0.6957,0.4903,88.1727,4.49855,178.647,11.9577,6.96378,4.99392,12.7595,39.374555792466246
36926,Stretch 4,2012,robbie hummel,117.5,24.8,49.5,54.05,5.5,21.7,12.6,7.1,0.825,122,277,0.44,72,188,0.383,4.2,1.3,29.5,Sr,4.8929,129.452,2.6,88.4,94.0057,32.2286,7.74869,1.07387,1.5714,5.6,7.1714,1.8857,0.6571,1.2,16.3714,10.2834,1,2.06245208,0.6296,0.42,99.9434,3.61701,212.965,7.60093,5.92469,1.67624,8.82257,39.374555792466246
36974,Stretch 4,2012,robert covington,116.2,26.2,59.9,62.76,11.1,20.2,11.4,17.7,0.768,134,237,0.565,60,137,0.438,5.4,2.9,33.4,Jr,4.07962,123.602,3.8,,95.6808,31.6452,7.06751,1.58241,2.8387,5.0,7.8387,1.3226,1.5161,1.3871,17.5484,8.47861,2,0.54666447,0.7132,0.3663,94.7421,3.30104,216.822,7.90017,4.7365,3.16367,8.64992,66.5813788201848
36975,Stretch 4,2013,robert covington,104.9,26.4,47.9,53.79,10.0,18.2,10.0,18.2,0.833,75,171,0.439,34,92,0.37,6.2,4.0,36.5,Sr,2.97651,113.031,3.8,,94.2869,31.2381,4.1736,1.94005,2.619,4.9048,7.5238,1.3333,2.1429,1.7619,15.8095,8.1535,1,0.51851133,0.5915,0.33,95.433,3.38683,158.872,5.34517,2.18947,3.15571,6.11365,66.5813788201848
36976,Stretch 4,2011,robert covington,109.4,21.9,57.9,60.69,8.6,19.7,9.4,20.4,0.797,102,195,0.523,39,82,0.476,3.4,2.9,24.9,So,2.60747,110.574,4.5,,101.494,31.3214,2.37618,0.498935,2.1071,5.1429,7.25,1.1429,1.5,0.9643,13.4286,5.70765,3,0.50002185,0.6283,0.375,98.5591,2.72767,188.732,3.01951,1.48828,1.53122,2.87511,66.5813788201848
36977,Stretch 4,2010,robert covington,100.2,23.5,48.7,52.49,9.5,19.4,10.1,20.2,0.797,97,217,0.447,37,96,0.385,4.5,2.3,25.2,Fr,1.59043,102.851,4.1,,102.829,27.2812,0.831625,-0.325443,2.3438,4.1562,6.5,1.1562,1.0625,1.0938,11.5,6.42035,4,0.52109249,0.5755,0.3243,102.353,2.19838,178.894,1.35336,-0.059591,1.41295,0.506182,66.5813788201848
37044,C,2011,robert sacre,110.7,25.0,49.1,58.39,12.0,16.8,8.5,19.5,0.825,135,274,0.493,0,1,0.0,8.0,1.7,68.7,Jr,2.95552,119.113,4.2,65.2,89.4159,26.1176,2.58715,2.72336,2.5,3.9412,6.4412,1.1176,0.7647,1.8529,12.5294,0.0658215,2,0.51348492,0.6545,0.3841,92.7907,3.37475,195.015,6.54251,1.28283,5.25968,5.31051,23.681592039800996
37045,PF/C,2010,robert sacre,101.2,22.2,52.2,55.93,9.1,14.8,4.6,20.2,0.629,116,224,0.518,1,1,1.0,7.8,1.6,75.6,So,1.72304,105.428,4.7,65.2,90.8069,25.4848,-0.0525228,2.53214,1.8788,3.5455,5.4242,0.6061,0.697,1.9394,10.3636,0.0679069,3,0.30305001,0.7386,0.3723,94.2778,3.12138,181.333,3.79492,-0.544877,4.3398,2.47962,23.681592039800996
37046,C,2012,robert sacre,111.7,22.9,51.1,59.52,9.9,18.1,5.7,18.1,0.761,117,227,0.515,0,2,0.0,5.8,0.8,86.0,Sr,2.81627,116.709,3.3,65.2,91.1277,26.2727,2.24699,1.77144,2.0303,4.2727,6.303,0.7273,0.3636,1.4242,11.6364,0.138079,1,0.400011,0.6625,0.4354,93.459,3.19885,171.815,4.18106,1.17504,3.00602,4.01842,23.681592039800996
