,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
24624,2010,justin holiday,109.8,15.1,44.9,48.54,8.6,13.7,13.9,15.0,69,157,0.439,10,30,0.333,2.6,2.5,21.4,Jr,1.55458,105.972,81.8,89.9549,22.2059,2.58727,3.36702,1.7059,2.7647,4.4706,1.8235,1.0,0.5882,5.8824,2.18944,0.6212,94.7799,2.80601,157.436,7.29567,2.91487,4.3808,5.95429,43.2
24634,2017,justin jackson,119.2,23.9,53.0,55.46,4.9,10.8,16.0,12.3,156,306,0.51,103,280,0.368,0.8,1.4,22.4,Jr,4.95423,132.301,98.4,93.9603,32.0,7.38876,1.50303,1.45,3.2,4.65,2.825,0.775,0.225,18.275,12.2983,0.6385,101.543,3.89272,215.962,8.26311,6.7892,1.47391,8.89179,20.83
24639,2013,justin jackson,82.5,18.2,42.3,44.09,9.5,20.4,15.8,32.3,45,99,0.455,1,11,0.091,7.8,3.2,39.1,Jr,-0.0789536,84.0245,68.8,79.6071,18.8,-2.69307,5.76329,1.6333,3.4333,5.0667,1.4667,0.9667,1.3667,3.8333,1.19778,0.5893,82.306,2.99525,138.974,5.69448,-2.7268,8.42128,3.07022,20.83
25626,2018,keita bates diop,114.5,27.5,54.4,57.73,5.7,24.5,10.5,11.8,181,331,0.547,66,184,0.359,5.9,1.6,27.4,Jr,4.95326,131.415,94.4,88.7301,33.0882,7.46267,2.83435,1.5294,7.1765,8.7059,1.6471,0.9118,1.6471,19.7647,9.61523,0.6715,93.7832,4.62406,254.42,8.21587,4.15602,4.05985,10.297,33.11
25836,2011,kemba walker,117.8,31.5,47.8,54.3,3.9,11.5,28.0,11.8,241,512,0.471,75,227,0.33,0.5,3.1,42.6,Jr,7.24909,142.787,97.8,91.1048,37.6341,9.21951,3.12896,1.2927,4.1463,5.439,4.4878,1.878,0.1707,23.5366,9.04886,0.5867,97.6871,4.59401,280.051,11.104,9.07703,2.02696,12.3485,63.31
26118,2011,kent bazemore,108.7,23.1,53.1,55.87,6.0,13.4,20.9,22.2,118,234,0.504,31,76,0.408,3.5,4.8,42.9,Jr,2.91167,113.562,21.6,88.1813,30.7353,4.17132,5.11606,1.5588,3.5,5.0588,2.8824,2.2353,0.8824,12.2647,4.75589,0.6393,90.2383,4.13229,222.995,8.72862,3.64668,5.08194,9.28738,39.84
26729,2014,khem birch,117.8,19.6,51.0,56.9,13.9,20.3,7.6,12.8,125,245,0.51,0,0,0.0,10.9,1.2,77.1,Jr,3.29549,118.76,97.4,89.0476,31.4242,3.71298,4.33677,3.9697,6.2424,10.2121,1.2121,0.6364,3.7576,11.5455,0.0,0.6228,90.5787,4.39771,246.245,9.55192,2.34033,7.2116,8.04974,33.04
26740,2012,khris middleton,96.0,28.6,45.1,48.32,5.7,15.8,19.0,16.5,77,160,0.481,19,74,0.257,1.1,2.1,22.2,Jr,2.4448,110.111,79.8,90.5318,29.0526,3.89037,1.53836,1.3684,3.7368,5.1053,2.1579,0.9474,0.2632,13.1579,8.49013,0.6154,96.8178,3.58719,98.5027,3.92283,2.03078,1.89205,5.42874,57.49
26970,2011,klay thompson,107.6,31.9,52.5,57.37,2.6,14.0,25.0,17.8,142,305,0.466,98,246,0.398,3.1,2.8,33.6,Jr,4.88233,127.285,91.8,90.4682,34.6765,6.69188,2.5696,0.7353,4.5,5.2353,3.7353,1.6471,0.9412,21.5588,12.1474,0.6,94.8348,4.33914,247.877,8.20607,5.45202,2.75405,9.26148,56.43
27164,2016,kris dunn,103.6,29.3,49.9,54.06,3.5,14.8,41.8,20.9,142,298,0.477,42,113,0.372,1.9,4.3,46.2,Jr,3.76517,121.205,97.0,88.3916,32.9697,4.58362,4.94557,1.0909,4.2424,5.3333,6.2424,2.4848,0.6061,16.4242,5.95801,0.6306,93.8582,4.5888,255.725,9.73839,4.74338,4.99501,9.52919,40.8
